"X","id","collection","dc.contributor.author..","dc.date.accessioned","dc.date.accessioned..","dc.date.available","dc.date.available..","dc.date.issued..","dc.description.abstract.en_US.","dc.description.provenance.en.","dc.identifier.citation.en_US.","dc.identifier.uri","dc.identifier.uri..","dc.language.iso.en_US.","dc.publisher.en_US.","dc.title.en_US.","dc.type.en_US.","unigrams","bigrams","trigrams"
0,"3c846b08-0646-4f5f-9ace-f8cf3f327c1e","1/2392","Kimmerle, Joachim||Abels, Kristina||Becher, Katharina||Beckers, Anna||Haussmann, Annette||Thiel, Ansgar||Cress, Ulrike","2020-01-09T02:14:22Z","2020-01-08T21:05:44Z","2020-01-09T02:14:22Z","2020-01-08T21:05:44Z","2011-06","This paper presents a hermeneutic analysis of a web forum in which supporters of an alternative medical approach, the so-called Urkost (""primordial food"") movement, are gathered as a community of practice, and in which they exchange information and opinions in order to pass on and develop relevant knowledge. In our analysis of knowledge construction, we were able to identify four aspects. 1) Imparting a certain view of the world knowledge creation provided an ideological guidance system. 2) Role structure within the community the entire communication was centered on one individual expert who played the role of a kind of guru. 3) Persuasion and reinforcement of followers the impartment of knowledge and persuasion were primarily based on an emotional type of communication. 4) Separation from ""dissidents"" the attitude towards people of a ""different faith"" and towards standard medicine was characterized by strong hostility and rejection.","Made available in DSpace on 2020-01-09T02:14:22Z (GMT). No. of bitstreams: 1
1-8.pdf: 245054 bytes, checksum: 59527dea0b07df3526574586248308f2 (MD5)
  Previous issue date: 2011-06","Kimmerle, J., Abels, K., Becher, K., Beckers, A., Haussmann, A., Thiel, A., & Cress, U. (2011). Construction of health knowledge in an alternative medical community of practice: Hermeneutic analysis of a web forum. In Spada, H., Stahl, G., Miyake, N., & Law, N. (Eds.), Connecting Computer-Supported Collaborative Learning to Policy and Practice: CSCL2011 Conference Proceedings. Volume I — Long Papers (pp. 1-8). Hong Kong, China: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2394","https://doi.dx.org/10.22318/cscl2011.1","en","International Society of the Learning Sciences","Construction of health knowledge in an alternative medical community of practice: Hermeneutic analysis of a web forum","Long Papers","paper,present,hermeneutic,analysis,web,forum,supporter,alternative,medical,approach,so-called,urkost,``,primordial,food,'',movement,gathered,community,practice,exchange,information,opinion,order,pas,develop,relevant,knowledge,analysis,knowledge,construction,able,identify,four,aspect,1,imparting,certain,view,world,knowledge,creation,provided,ideological,guidance,system,2,role,structure,within,community,entire,communication,centered,one,individual,expert,played,role,kind,guru,3,persuasion,reinforcement,follower,impartment,knowledge,persuasion,primarily,based,emotional,type,communication,4,separation,``,dissident,'',attitude,towards,people,``,different,faith,'',towards,standard,medicine,characterized,strong,hostility,rejection","paper present,present hermeneutic,hermeneutic analysis,analysis web,web forum,forum supporter,supporter alternative,alternative medical,medical approach,approach so-called,so-called urkost,urkost ``,`` primordial,primordial food,food '','' movement,movement gathered,gathered community,community practice,practice exchange,exchange information,information opinion,opinion order,order pas,pas develop,develop relevant,relevant knowledge,knowledge analysis,analysis knowledge,knowledge construction,construction able,able identify,identify four,four aspect,aspect 1,1 imparting,imparting certain,certain view,view world,world knowledge,knowledge creation,creation provided,provided ideological,ideological guidance,guidance system,system 2,2 role,role structure,structure within,within community,community entire,entire communication,communication centered,centered one,one individual,individual expert,expert played,played role,role kind,kind guru,guru 3,3 persuasion,persuasion reinforcement,reinforcement follower,follower impartment,impartment knowledge,knowledge persuasion,persuasion primarily,primarily based,based emotional,emotional type,type communication,communication 4,4 separation,separation ``,`` dissident,dissident '','' attitude,attitude towards,towards people,people ``,`` different,different faith,faith '','' towards,towards standard,standard medicine,medicine characterized,characterized strong,strong hostility,hostility rejection","paper present hermeneutic,present hermeneutic analysis,hermeneutic analysis web,analysis web forum,web forum supporter,forum supporter alternative,supporter alternative medical,alternative medical approach,medical approach so-called,approach so-called urkost,so-called urkost ``,urkost `` primordial,`` primordial food,primordial food '',food '' movement,'' movement gathered,movement gathered community,gathered community practice,community practice exchange,practice exchange information,exchange information opinion,information opinion order,opinion order pas,order pas develop,pas develop relevant,develop relevant knowledge,relevant knowledge analysis,knowledge analysis knowledge,analysis knowledge construction,knowledge construction able,construction able identify,able identify four,identify four aspect,four aspect 1,aspect 1 imparting,1 imparting certain,imparting certain view,certain view world,view world knowledge,world knowledge creation,knowledge creation provided,creation provided ideological,provided ideological guidance,ideological guidance system,guidance system 2,system 2 role,2 role structure,role structure within,structure within community,within community entire,community entire communication,entire communication centered,communication centered one,centered one individual,one individual expert,individual expert played,expert played role,played role kind,role kind guru,kind guru 3,guru 3 persuasion,3 persuasion reinforcement,persuasion reinforcement follower,reinforcement follower impartment,follower impartment knowledge,impartment knowledge persuasion,knowledge persuasion primarily,persuasion primarily based,primarily based emotional,based emotional type,emotional type communication,type communication 4,communication 4 separation,4 separation ``,separation `` dissident,`` dissident '',dissident '' attitude,'' attitude towards,attitude towards people,towards people ``,people `` different,`` different faith,different faith '',faith '' towards,'' towards standard,towards standard medicine,standard medicine characterized,medicine characterized strong,characterized strong hostility,strong hostility rejection"
1,"ba7581a5-9db2-420e-bba6-5a9979a35c72","1/2392","Allert, Heidrun||Richter, Christoph","2020-01-09T02:14:23Z","2020-01-08T21:07:22Z","2020-01-09T02:14:23Z","2020-01-08T21:07:22Z","2011-06","","Made available in DSpace on 2020-01-09T02:14:23Z (GMT). No. of bitstreams: 1
1000-1001.pdf: 128473 bytes, checksum: 600f6c8318c994723c758f410bc10aef (MD5)
  Previous issue date: 2011-06","Allert, H. & Richter, C. (2011). An Educational Perspective: Research Through Design. In Spada, H., Stahl, G., Miyake, N., & Law, N. (Eds.), Connecting Computer-Supported Collaborative Learning to Policy and Practice: CSCL2011 Conference Proceedings. Volume II — Short Papers & Posters (pp. 1000-1001). Hong Kong, China: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2395","https://doi.dx.org/10.22318/cscl2011.1000","en","International Society of the Learning Sciences","An Educational Perspective: Research Through Design","Posters","","",""
2,"1d70a229-fd5f-4ac1-b067-e9df2fe01903","1/2392","Zhao, Naxin||Najafi, Hedieh||Slotta, James","2020-01-09T02:14:23Z","2020-01-08T21:07:22Z","2020-01-09T02:14:23Z","2020-01-08T21:07:22Z","2011-06","","Made available in DSpace on 2020-01-09T02:14:23Z (GMT). No. of bitstreams: 1
1002-1003.pdf: 271890 bytes, checksum: 8c944d73c0f1209669dcb870446d5493 (MD5)
  Previous issue date: 2011-06","Zhao, N., Najafi, H., & Slotta, J. (2011). An Analysis of Teacher-Students Interactions in Three Science Classes: A Pilot Study. In Spada, H., Stahl, G., Miyake, N., & Law, N. (Eds.), Connecting Computer-Supported Collaborative Learning to Policy and Practice: CSCL2011 Conference Proceedings. Volume II — Short Papers & Posters (pp. 1002-1003). Hong Kong, China: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2396","https://doi.dx.org/10.22318/cscl2011.1002","en","International Society of the Learning Sciences","An Analysis of Teacher-Students Interactions in Three Science Classes: A Pilot Study","Posters","","",""
3,"d3051c5f-3874-47d0-a922-0353d66d6bb6","1/2392","Hamilton, Eric","2020-01-09T02:14:23Z","2020-01-08T21:07:22Z","2020-01-09T02:14:23Z","2020-01-08T21:07:22Z","2011-06","","Made available in DSpace on 2020-01-09T02:14:23Z (GMT). No. of bitstreams: 1
1004-1005.pdf: 159811 bytes, checksum: e00a4f194a2875648ce54df8514c8fc1 (MD5)
  Previous issue date: 2011-06","Hamilton, E. (2011). Advancing a Complex Systems Approach to Personalized Learning Communities: Bandwidth, Sightlines, and Teacher Creativity. In Spada, H., Stahl, G., Miyake, N., & Law, N. (Eds.), Connecting Computer-Supported Collaborative Learning to Policy and Practice: CSCL2011 Conference Proceedings. Volume II — Short Papers & Posters (pp. 1004-1005). Hong Kong, China: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2397","https://doi.dx.org/10.22318/cscl2011.1004","en","International Society of the Learning Sciences","Advancing a Complex Systems Approach to Personalized Learning Communities: Bandwidth, Sightlines, and Teacher Creativity","Posters","","",""
4,"79794061-aa0e-4e59-bd4f-9ebbaf33a219","1/2392","Hamilton, Eric","2020-01-09T02:14:24Z","2020-01-08T21:07:23Z","2020-01-09T02:14:24Z","2020-01-08T21:07:23Z","2011-06","This poster reviews a novel form of NSF- and IES- supported professional development research that explores teacher conceptual and pedagogical change as they develop a repository of videos of worked examples that shadow school curricula. Several elements are unique, including the creative role that teachers are expected to assume, the implementation of Japanese Lesson Study as the collaboration methodology for teacher interaction, and the involvement of student teams in creating peers for video.","Made available in DSpace on 2020-01-09T02:14:24Z (GMT). No. of bitstreams: 1
1006-1007.pdf: 151535 bytes, checksum: c828b646a1756680b862f2a5f0091f63 (MD5)
  Previous issue date: 2011-06","Hamilton, E. (2011). New forms of collaborative repository development involving students, teachers, and Japanese lesson study. In Spada, H., Stahl, G., Miyake, N., & Law, N. (Eds.), Connecting Computer-Supported Collaborative Learning to Policy and Practice: CSCL2011 Conference Proceedings. Volume II — Short Papers & Posters (pp. 1006-1007). Hong Kong, China: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2398","https://doi.dx.org/10.22318/cscl2011.1006","en","International Society of the Learning Sciences","New forms of collaborative repository development involving students, teachers, and Japanese lesson study","Posters","poster,review,novel,form,nsf-,ies-,supported,professional,development,research,explores,teacher,conceptual,pedagogical,change,develop,repository,video,worked,example,shadow,school,curriculum,several,element,unique,including,creative,role,teacher,expected,assume,implementation,japanese,lesson,study,collaboration,methodology,teacher,interaction,involvement,student,team,creating,peer,video","poster review,review novel,novel form,form nsf-,nsf- ies-,ies- supported,supported professional,professional development,development research,research explores,explores teacher,teacher conceptual,conceptual pedagogical,pedagogical change,change develop,develop repository,repository video,video worked,worked example,example shadow,shadow school,school curriculum,curriculum several,several element,element unique,unique including,including creative,creative role,role teacher,teacher expected,expected assume,assume implementation,implementation japanese,japanese lesson,lesson study,study collaboration,collaboration methodology,methodology teacher,teacher interaction,interaction involvement,involvement student,student team,team creating,creating peer,peer video","poster review novel,review novel form,novel form nsf-,form nsf- ies-,nsf- ies- supported,ies- supported professional,supported professional development,professional development research,development research explores,research explores teacher,explores teacher conceptual,teacher conceptual pedagogical,conceptual pedagogical change,pedagogical change develop,change develop repository,develop repository video,repository video worked,video worked example,worked example shadow,example shadow school,shadow school curriculum,school curriculum several,curriculum several element,several element unique,element unique including,unique including creative,including creative role,creative role teacher,role teacher expected,teacher expected assume,expected assume implementation,assume implementation japanese,implementation japanese lesson,japanese lesson study,lesson study collaboration,study collaboration methodology,collaboration methodology teacher,methodology teacher interaction,teacher interaction involvement,interaction involvement student,involvement student team,student team creating,team creating peer,creating peer video"
5,"1616c16a-9ef0-4f3b-8555-8b57a72d3425","1/2392","Tabak, Iris||Puntambekar, Sadhana","2020-01-09T02:14:24Z","2020-01-08T21:07:23Z","2020-01-09T02:14:24Z","2020-01-08T21:07:23Z","2011-06","","Made available in DSpace on 2020-01-09T02:14:24Z (GMT). No. of bitstreams: 1
1014-1014.pdf: 90213 bytes, checksum: 1a77e641735d45e46b4d309b85b9f98a (MD5)
  Previous issue date: 2011-06","Tabak, I. & Puntambekar, S. (2011). ISLS presidential sessions: Honoring Janet Kolodner. In Spada, H., Stahl, G., Miyake, N., & Law, N. (Eds.), Connecting Computer-Supported Collaborative Learning to Policy and Practice: CSCL2011 Conference Proceedings. Volume III — Community Events and Proceedings (pp. 1014-1014). Hong Kong, China: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2399","https://doi.dx.org/10.22318/cscl2011.1014","en","International Society of the Learning Sciences","ISLS presidential sessions: Honoring Janet Kolodner","Symposia","","",""
6,"9390a15b-2408-4286-8670-86223b7f62a8","1/2392","Suthers, Dan||Lund, Kristine||Rose, Carolyn||Dyke, Gregory||Law, Nancy||Teplovs, Chris||Chen, Wenli||Chiu, Ming Ming||Jeong, Heisawn||Looi, Chee Kit||Medina, Richard||Oshima, Jun||Sawyer, Keith||Shirouzu, Hajime||Strijbos, Jan Willem||Trausan-Matu, Stefan||van Aalst, Jan","2020-01-09T02:14:24Z","2020-01-08T21:07:24Z","2020-01-09T02:14:24Z","2020-01-08T21:07:24Z","2011-06","","Made available in DSpace on 2020-01-09T02:14:24Z (GMT). No. of bitstreams: 1
1015-1022.pdf: 269478 bytes, checksum: 09f2077e9a919945929d178a1790e86a (MD5)
  Previous issue date: 2011-06","Suthers, D., Lund, K., Rose, C., Dyke, G., Law, N., Teplovs, C., Chen, W., Chiu, M. M., Jeong, H., Looi, C. K., Medina, R., Oshima, J., Sawyer, K., Shirouzu, H., Strijbos, J. W., Trausan-Matu, S., & van Aalst, J. (2011). Towards Productive Multivocality in the Analysis of Collaborative Learning. In Spada, H., Stahl, G., Miyake, N., & Law, N. (Eds.), Connecting Computer-Supported Collaborative Learning to Policy and Practice: CSCL2011 Conference Proceedings. Volume III — Community Events and Proceedings (pp. 1015-1022). Hong Kong, China: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2400","https://doi.dx.org/10.22318/cscl2011.1015","en","International Society of the Learning Sciences","Towards Productive Multivocality in the Analysis of Collaborative Learning","Symposia","","",""
7,"67afb758-d558-4372-b00b-717cc7de9e8b","1/2392","Klopfer, Eric||Sheldon, Josh||Rosenheck, Louisa||Perry, Judy||Squire, Kurt||Mathews, Jim||Coulter, Bob||Dunleavy, Matt||Shapiro, R. Benjamin","2020-01-09T02:14:24Z","2020-01-08T21:07:24Z","2020-01-09T02:14:24Z","2020-01-08T21:07:24Z","2011-06","","Made available in DSpace on 2020-01-09T02:14:24Z (GMT). No. of bitstreams: 1
1023-1028.pdf: 206885 bytes, checksum: 3382fd58e23566d459af2c5de268907b (MD5)
  Previous issue date: 2011-06","Klopfer, E., Sheldon, J., Rosenheck, L., Perry, J., Squire, K., Mathews, J., Coulter, B., Dunleavy, M., & Shapiro, R. B. (2011). Augmented Reality Games: Place-based Digital Learning. In Spada, H., Stahl, G., Miyake, N., & Law, N. (Eds.), Connecting Computer-Supported Collaborative Learning to Policy and Practice: CSCL2011 Conference Proceedings. Volume III — Community Events and Proceedings (pp. 1023-1028). Hong Kong, China: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2401","https://doi.dx.org/10.22318/cscl2011.1023","en","International Society of the Learning Sciences","Augmented Reality Games: Place-based Digital Learning","Symposia","","",""
8,"c9a308ca-5c21-432f-b8bf-f8f72ab1a7a2","1/2392","Linn, Marcia||Shen, Ji||Chang, Hsin-Yi||Hsieh, Fang-Pei||Schwendimann, Beat||Matuk, Camillia||Chen, Jennifer King||Chiu, Jennifer||Xie, Charles||Zhang, Baohui||Sun, Daner||Mous, Karel||Koh, Quee Boon||Namdar, Bahadia||Enriquez, Rutchelle||Lei, Jing||Luo, Heng||Lee, Sunghye||Wu, Hsin-Kai","2020-01-09T02:14:25Z","2020-01-08T21:07:25Z","2020-01-09T02:14:25Z","2020-01-08T21:07:25Z","2011-06","","Made available in DSpace on 2020-01-09T02:14:25Z (GMT). No. of bitstreams: 1
1029-1036.pdf: 539272 bytes, checksum: bf632128ba55fd40bcec51c17017b146 (MD5)
  Previous issue date: 2011-06","Linn, M., Shen, J., Chang, H., Hsieh, F., Schwendimann, B., Matuk, C., Chen, J. K., Chiu, J., Xie, C., Zhang, B., Sun, D., Mous, K., Koh, Q. B., Namdar, B., Enriquez, R., Lei, J., Luo, H., Lee, S., & Wu, H. (2011). Collaboration as Scaffolding: Learning Together with Dynamic, Interactive Scientific Visualizations and Computer Models. In Spada, H., Stahl, G., Miyake, N., & Law, N. (Eds.), Connecting Computer-Supported Collaborative Learning to Policy and Practice: CSCL2011 Conference Proceedings. Volume III — Community Events and Proceedings (pp. 1029-1036). Hong Kong, China: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2402","https://doi.dx.org/10.22318/cscl2011.1029","en","International Society of the Learning Sciences","Collaboration as Scaffolding: Learning Together with Dynamic, Interactive Scientific Visualizations and Computer Models","Symposia","","",""
9,"e418d460-2d3c-4ea1-8f8b-c72247f30e55","1/2392","Luckin, Rosemary||Looi, Chee Kit||Puntambekar, Sadhana||Fraser, Danae Stanton||Tabak, Iris||Underwood, Joshua||Chen, Wenli","2020-01-09T02:14:25Z","2020-01-08T21:07:26Z","2020-01-09T02:14:25Z","2020-01-08T21:07:26Z","2011-06","","Made available in DSpace on 2020-01-09T02:14:25Z (GMT). No. of bitstreams: 1
1037-1044.pdf: 235009 bytes, checksum: 210a3760a240456bed4bfc9ea931e301 (MD5)
  Previous issue date: 2011-06","Luckin, R., Looi, C. K., Puntambekar, S., Fraser, D. S., Tabak, I., Underwood, J., & Chen, W. (2011). Contextualizing the changing face of Scaffolding Research: Are we driving pedagogical theory development or avoiding it?. In Spada, H., Stahl, G., Miyake, N., & Law, N. (Eds.), Connecting Computer-Supported Collaborative Learning to Policy and Practice: CSCL2011 Conference Proceedings. Volume III — Community Events and Proceedings (pp. 1037-1044). Hong Kong, China: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2403","https://doi.dx.org/10.22318/cscl2011.1037","en","International Society of the Learning Sciences","Contextualizing the changing face of Scaffolding Research: Are we driving pedagogical theory development or avoiding it?","Symposia","","",""
