old,new
"Chan, Carol K.K.","Chan, Carol"
"Cheng, Britte Haugan","Cheng, Britte"
"Chinn, Clark A.","Chinn, Clark"
"Clark, Douglas B.","Clark, Doug"
"Clark, Douglas","Clark, Doug"
"Clark, Doug","Clark, Douglas B."
"Danish, Joshua A.","Danish, Joshua"
"Derry, Sharon J.","Derry, Sharon"
"Duncan, Ravit Golan","Duncan, Ravit"
"Edelson, Daniel C.","Edelson, Daniel"
"Evans, Michael A.","Evans, Michael"
"Farris, Amy Voss","Farris, Amy"
"Fields, Deborah A.","Fields, Deborah"
"Gomez, Louis M.","Gomez, Louis"
"Gutie.rrez, Kris D.","Gutierrez, Kris"
"Gutiérrez, Kris","Gutierrez, Kris"
"Halverson, Erica Rosenfeld","Halverson, Erica"
"Hmelo, Cindy E.","Hmelo-Silver, Cindy"
"Hmelo.Silver, Cindy","Hmelo-Silver, Cindy"
"Hmelo.Silver, Cindy E.","Hmelo-Silver, Cindy"
"Hoppe, H. Ulrich","Hoppe, Ulrich"
"Jacobson, Michael J.","Jacobson, Michael"
"kafai, yasmin","Kafai, Yasmin"
"Kafai, Yasmin B.","Kafai, Yasmin"
"Kirschner, Paul A.","Kirschner, Paul"
"Koedinger, Kenneth","Koedinger, Ken"
"Koedinger, Kenneth R.","Koedinger, Ken"
"Kolodner, Janet L.","Kolodner, Janet"
"Laferrière, Thérèse","Laferriere, Therese"
"Lee, Victor R.","Lee, Victor"
"Linn, Marcia C.","Linn, Marcia"
"Litts, Breanne K.","Litts, Breanne"
"Martin, Caitlin K.","Martin, Caitlin"
"Martin, Caitlin Kennedy","Martin, Caitlin"
"McElhaney, Kevin W","McElhaney, Kevin"
"McLaren, Bruce M.","McLaren, Bruce"
"McNamara, Danielle S.","McNamara, Danielle"
"Pellegrino, James W","Pellegrino, James"
"Penuel, William R.","Penuel, William"
"Peppler, Kylie A","Peppler, Kylie"
"Polman, Joseph L.","Polman, Joseph"
"Reiser, Brian J.","Reiser, Brian"
"Rosé, Carolyn","Rose, Carolyn"
"Rosé, Carolyn P.","Rose, Carolyn"
"Rosé, Carolyn Penstein","Rose, Carolyn"
"Rose., Carolyn","Rose, Carolyn"
"Rose., Carolyn Penstein","Rose, Carolyn"
"Sandoval, William A.","Sandoval, William"
"Schwarz, Baruch B.","Schwarz, Baruch"
"Silva, Brenda López","Silva, Brenda Lopez"
"Slotta, James D.","Slotta, James"
"Suthers, Daniel D.","Suthers, Dan"
"Suthers, Daniel","Suthers, Dan"
"Taylor, Katie Headrick Taylor","Taylor, Katie Headrick"
"Walkington, Candace A","Walkington, Candace"
"Weiss, Patrice L. Tamar","Weiss, Patrice L."
"Wise, Alyssa Friend","Wise, Alyssa"
"Yoon, Susan A.","Yoon, Susan"
"Zimmerman, Heather Toomey","Zimmerman, Heather"
