"id","Author"
"8b01ebcc-315e-46fd-b095-9479137bcb8c","Kimmerle__Joachim"
"a2c99d9b-fd57-4de7-81ad-f73fda7318f9","Yip__Jason"
"a8830436-1f40-40e5-b49c-2a317c14b32b","Chen__Bodong"
"36a64b0f-95db-43f1-95ca-2e34a230821d","Holbert__Nathan"
"6cdf6e0e-0555-4c50-80a3-158c17ea64a5","Batane__Tshepo"
"56aa31bd-9806-4c93-9948-8de1b930b086","Lin__Emily_S."
"ec90dcf0-e288-45a8-92ca-24140bfe62a9","DeVane__Ben"
"4979b500-09be-4aaa-873b-6a6d017f0b6e","Avramides__Katerina"
"8131fd9f-9b2c-4d86-b7db-e09e28f2aded","Chen__Ying-Chih"
"7f8486e6-ca51-4d29-8999-ee427c0074b4","Hershkovitz__Arnon"
"1e13b149-b4aa-467b-8dd0-3085105f270e","Sensevy__Gérard"
"dbdd0e36-211b-4fc4-b897-5065436f4e6c","Orrill__Chandra_Hawley"
"ae65c3e6-437c-4c78-bbba-e9541cd39ad0","Wang__Joyce"
"567a12a9-1a46-45ba-a4d2-b04ee7ad83fb","Kafai__Yasmin"
"8e3b4cdf-e8bb-4015-8b0a-1efd4a9354fc","Fields__Deborah"
"a6070eb7-7f02-42c8-bc6c-2efd36ad6ada","Delgado__Cesar"
"2d5c7031-6b33-4951-a207-2dcc37ecd0cc","Law__Nancy"
"20d7bf73-99c8-470f-8731-4410a748192b","Gegenfurtner__Andreas"
"d0159478-7f1d-46f6-9b2f-35989e4c5351","Madeira__Cheryl-Ann"
"9cddfb74-f5ed-487c-a5d8-1e478687cbd8","Wong__Lung-Hsiang"
"e412b8fe-cac0-47f6-9fd7-8e6274a01b66","Wong__Lung-Hsiang"
"837fe35f-a799-4aed-8eaf-0f939bce7884","Kelly__Nick"
"0ec698e1-c86a-45ad-945d-971b7c0cad2c","Bonsignore__Elizabeth"
"1eaab006-7725-495a-8848-a834823b75a6","Huang__Junsong"
"2cde6859-2c4d-4c86-a8f9-f32328a882fb","Kangas__Kaiju"
"4582b161-03ff-4f6d-b33c-87cd43d4bdf9","Roschelle__Jeremy"
"ddf3ffe8-ba11-4c6e-b093-07daee6f5a21","Trninic__Dragan"
"145d75d4-065e-454a-a165-38589aac3ecc","Hoppe__Ulrich"
"dcfa0af8-66b5-40b1-bc38-5489d2f00cf5","Sung__Shannon"
"ee15bf6d-dd7b-4842-8433-16746be58dc6","Ha__Seungyon"
"c5c8b833-226a-4fae-a5f2-5395fa262813","Keifert__Danielle"
"fd7390b6-bc6e-4c6e-aded-a0b2bd8aeac3","McElhaney__Kevin"
"b00ce609-5f44-4b20-824e-85d5e918f157","Sawyer__Keith"
"a71d9300-74df-4c31-94bc-969d9575f728","Kollar__Ingo"
"cc14132a-46d5-429f-9d1f-f6603e4c9de7","Jeong__Heisawn"
"881a099a-ef1c-45a6-80f1-9722b1a55ed0","Sandoval__William"
"e90bc4b1-bc34-4e26-8fb1-5324b3a17aeb","Wichmann__Astrid"
"3e1c37c6-8a86-4cf2-b31b-09be7cf1ad96","Dyke__Gregory"
"8ca2c105-db84-4555-b63d-340f509421b3","Svihla__Vanessa"
"491535db-cd96-4a2d-8c79-a2b0693962c5","Eisenberg__Michael"
"6f242dd9-3d1c-4c4b-829a-38fa75b416a8","Blikstein__Paulo"
"155ae0b2-860d-459c-9786-2719c4bc8939","Zhang__Jianwei"
"27f3462a-f606-4d01-ae0a-a0b42a30de8a","Lam__Diane"
"5fb75d5d-aad5-4d40-b915-2a3115bdf8a9","Gresalfi__Melissa"
"a792a244-1a6e-4bd1-b781-9d0d0bcaefeb","Eberbach__Catherine"
"76ac4c46-212b-4495-b27c-6990cb570397","Song__Minyoung"
"598ed815-786d-43f8-ac83-ff6a05457e0e","Lindgren__Robb"
"c6b754a9-ed8d-40f6-88b3-4592bdca889c","Gweon__Gahgene"
"9d8c0a77-4c20-47db-bf74-e259095bad4d","Zhang__Yonghe"
"a4f0277f-2a52-4d64-9f85-f261e0c7c7f6","Lee__Tuck_Leong"
"5c58c9e1-db8b-41b8-99c7-d10e6e25f32b","Thompson__Kate"
"ae9f5a1e-a357-43b9-a012-4fde56c4201b","Toh__Pee_Li_Leslie"
"61fecb90-17ed-4114-a21c-f6be04eb7983","Schmidt__Kristin"
"42b2c94d-d0bf-421f-a6d3-c299be954fbb","Wise__Alyssa"
"18114213-7662-47dc-8511-ec8f578d18fb","Rau__Martina"
"dc7444dc-f9be-4248-84aa-e686e80ef901","Goh__Sao-Ee"
"df74f863-0126-4645-963b-fdf73d3982ab","Walkington__Candace"
"6a5b7b56-5201-4145-ba71-b8b68a3ca1d9","Dalgarno__Barney"
"ed72b151-fd7f-4392-86b7-b892511f8fb2","Slattery__Brian"
"77a8b1a4-f178-4135-ac05-3d20a6684565","McKenney__Susan"
"fb5030e3-1028-4b57-b016-23da4afe772d","Davenport__Jodi"
"4a7bd96d-9917-49df-be72-abfd61f9ef2d","Raes__Annelies"
"e6717a99-bc97-4b05-b888-14bd2726a3c8","Jochen__Rick"
"ea09e9a7-cc52-4309-bc89-ee303e43fd49","Blikstein__Paulo"
"d341c453-9f2b-40f0-9940-1640a7d3f3c7","Bell__Philip"
"12a7b26a-64a3-49a6-9a3b-694fcbb32afe","Fielding-Wells__Jill"
"6b6f603a-2b56-41c7-ab84-d6ca60848c0d","Schoerning__Emily"
"e790edc0-4eae-4f06-ac12-5de3dcd4effd","Krauskopf__Karsten"
"6eba98c1-0f19-42be-80a8-1bf8bd08a3a3","Halatchliyski__Iassen"
"c6074802-fc22-4223-9d91-9287eee712d4","Yoon__Susan"
"8550c6ee-40f1-4ba3-a1f9-261e261c8757","Wecker__Christof"
"b40af810-4c0f-4455-b878-80ef47bea635","Lee__Victor"
"996678d3-24cf-4a77-a4ce-4cebf41ca38c","Sato__Elissa"
"57ad3f13-e364-47bc-8552-bbfad8a1ddd0","Oshima__Jun"
"4c30ab53-d8e4-4e11-84ed-649ab5c3c654","Mercier__Emma"
"80eb8b47-54d2-479a-9be7-5531a06d8f69","Vanover__Charles"
"58920f4f-c3f5-4c1b-8462-f0aef16e6950","van_Strien__Johan"
"196c18c8-a2f8-4af1-85cd-d859cb2e50d2","Kobiela__Marta"
"a50f028e-018a-4985-8414-f4f5c82ec2d8","Charles__Elizabeth"
"f1a6abcc-9123-4a5b-815a-cb8f769ad68f","Sun__Daner"
"fb5930fd-a544-4a1c-a210-b8684d83f558","Halverson__Erica"
"42605c4d-13e0-41f1-83c0-0692ab2eb529","Shah__Niral"
"76984bb2-2256-4d8e-ac86-51347b5b3a2c","Lee__Mark_J._W."
"f7f6b1e9-1168-440e-9be2-c688fd893e6d","Molinari__Gaelle"
"e61086d4-f963-4edf-bda0-b6c4e9c94b5c","Schmeck__Annett"
"e99f82a7-2474-4db5-9639-f65a2dc3fcb1","Maldonado__Roberto_Martinez"
"08547641-b0aa-49d8-9876-7667d457d1a8","Herman__Phillip"
"3ed22756-699c-4d39-ae86-cf2d14a41031","Barron__Brigid_J."
"78193de9-bb5d-47c5-a53f-f75530f28eaf","Segedy__James"
"225ac527-ea61-47e4-b0ac-56f267bbad30","Bagley__Elizabeth"
"04062072-54f0-4222-be6e-21f89f67072f","Krakowski__Moshe"
"e6f5e1ac-7a9b-429b-a024-6992c1e4b26e","Westermann__Katharina"
"0396ae5b-273e-4fed-b219-67ff254ab7cc","Mazur-Palandre__Audrey"
"33253f4a-2a5a-4ba5-8db6-d8aebc7c63e1","Magnifico__Alecia_Marie"
"09b2c120-f5d5-4a3b-b171-f9e7f4feacfa","Okita__Sandra"
"e5452d4b-9b4a-4bf9-a857-7134cfa5c1be","Dookie__Lesley"
"dde977aa-b577-4b3b-bbe0-38d908d03fde","Barth-Cohen__Lauren"
"6203470d-f7ea-4f29-858c-a9fa95b08983","Rouse__Rob"
"a2126165-7483-4019-9be4-2828e3ca1fed","Lu__Jingyan"
"d8ef9a34-5311-408a-a65c-b99ca82859ab","Barth-Cohen__Lauren"
"b0219b39-a71e-41ec-8ff2-27f79dfd748b","DeLiema__David_J."
"c1895bf0-fb61-44ec-a861-0bde6561b217","Krajcik__Joseph"
"488c07ce-e02c-469e-991b-54e4ac852b97","Lee__Victor"
"715eb330-c09d-4070-becb-8a98a557d6e4","Penuel__William"
"8e5ead95-bd36-4c0c-a48b-1cd7ba9113c9","Reimann__Peter"
"3be3e7f1-35bf-4c4c-8924-e091d1d771ec","Louca__Loucas"
"535decd6-8400-4e16-b16b-c92f0dfd49e6","Yeung__Yau-yuen"
"2a2c0fa3-838d-4543-8459-6ef73f44075b","Vatrapu__Ravi"
"42d28d3d-d01b-4c93-b2cd-d28e8f4330cb","Viilo__Marjut"
"726a0d84-a33a-448e-9fe0-ef5f3d925ffb","Lei__Chunlin"
"efd9e82a-ee8a-4547-a1aa-8eb1654e6159","Reynolds__Rebecca"
"210941b4-83e9-44c0-a511-f94694ae62cd","van_Aalst__Jan"
"9178f079-007b-4ea6-9c8f-602d72d9390d","Rebello__Carina_M."
"416627eb-7162-4a2a-94df-4905bc091357","Schwarz__Baruch"
"315a5c83-62fe-4b4d-bb4b-af97b6981418","Prusak__Naomi"
"ac5469c5-bbd6-46a2-9d3a-d7c85a934a18","Davenport__Jodi"
"33f8c0a8-6e66-4f43-854f-457c2a3bf04d","Eberle__Julia"
"3dd3467a-1a7d-42f0-b755-32ab991b576b","Evans__Michael"
"eee50670-4b7d-49f0-bd61-b59dab2d4651","Shin__Namsoo"
"d457e0a7-0e20-452f-8585-de189b06271f","Kim__Beaumie"
"92e71479-40a5-4963-b010-8306f16809cf","Lira__Matthew"
"ff39bd2b-449b-4f32-89f6-798f5200ee06","Bielaczyc__Katerine"
"b5c9b465-1d7d-4c4d-869d-827342d75996","Lee__Tiffany"
"9dee3a39-fe6e-41f2-9c5f-a6f517e31926","Magnifico__Alecia_Marie"
"75e92a52-8da5-458f-9b6a-54219fe05813","Calvo__Rafael"
"23e4825a-5ce9-4de1-9f23-779a17a15745","Jordan__Michelle"
"c4440213-5acd-4ce4-b829-9337de92c821","Wagh__Aditi"
"84322029-3c51-45cb-a21d-91a535e39b12","Wise__Alyssa"
"edfaa6a2-33af-477f-bc9d-cdc409465331","Tissenbaum__Mike"
"4c5e5433-cf34-485a-ad49-a3b518237454","Aditomo__Anindito"
"d33be0bd-1a9a-449d-b613-b1a7eae1ec36","Vogel__Freydis"
"fb3d1921-1ff5-4a77-934d-44a450b996fa","Oviatt__Sharon"
"dc3d92e1-2094-45a1-bbbb-be31c4ee5c56","Perry__Rachel"
"c4cefb46-9090-4f31-bf27-a6e6e1b4ebd8","Allaire__Stephane"
"61b47979-9933-486c-b412-502d279e4a3e","Pachman__Mariya"
"ef7856ec-eb21-44f9-a02b-4d2f0ff92867","Seppänen__Marko"
"99d3ec8a-dec4-4b7a-b87e-b8dab292006f","Chang__Hsin-Yi"
"14f11c4a-8dbb-4a01-a4e8-5d3e3c740f25","Simon__Jean"
"a692ac9e-e2cf-41a7-b135-5b45c61afe34","Oshima__Jun"
"8ad68d6c-4c30-4681-a02d-d4f264b05449","Tee__Meng_Yew"
"d0aa8a12-8dc8-42aa-9598-8de2f13576aa","Matuk__Camillia"
"38ccffd6-835e-404e-8eff-355564bba25b","González__Carlos"
"319b9f96-5878-4255-96ad-0ed87770574b","Wegner__Elisabeth"
"f5a105df-6342-4f8d-9cd7-6e9434e56673","Evans__Michael"
"e3f84078-8228-4469-8baf-a61f3e11c6c8","Davis__Pryce"
"433c949b-4eac-4641-82a7-4011ddca4461","Ferguson__Leila"
"c11e7960-ee4e-43ea-8ba8-e6a889dc60d4","Ranney__Michael"
"59723992-1089-4f2d-9479-87b5272efb7b","Liu__Shiyu"
"09d15cf5-6b0e-40bd-8e31-50580142b1a0","Zingaro__Daniel"
"3e414378-d5d7-4ce5-96cb-698fb2091f8e","Rhodes__Suzanne"
"5a038b73-81d1-4e02-90cd-18accca1876c","Sinha__Suparna"
"425e3422-5c58-4b5e-9ddc-5082b17b4546","Pressick-Kilborn__Kimberley"
"2410c6b4-c16b-4c34-9c3e-3cc004229581","Esmonde__Indigo"
"4f1abd02-a86f-4def-9bf0-a126ea48e43e","Shelton__Brett"
"ee0c09fe-f1f4-4c6f-bf90-b290feb7c7cc","Chiu__Chieh-Hsin"
"cfe22002-31aa-48b7-9f62-5ab319296a1e","Chang__Chih-Hsuan"
"9c8d0e9b-05d0-4d2c-8089-0665e8c273ac","Heddy__Benjamin"
"ae2335e4-6106-4f37-8b7a-8f5abc5b4a4e","Taylor__Jonte"
"6517fd1b-fe36-429a-b9e0-ad12b149a135","Penuel__William"
"ed3b42a1-0672-4ee8-a3c3-aeae16de6e3c","Loucas__T._L."
"4de09964-27d0-4982-b6d2-0701eb76b034","Jamaludin__Azilawati"
"013bc44c-8a91-4aaa-9379-6981c97b6856","Kapon__Shulamit"
"ee67b83c-5c95-4267-ab64-8ebc98b879d2","Louca__Loucas"
"7754ef23-80ef-4ddc-a2d5-ded8ad1de0c0","Kaendler__Celia"
"09a243e9-1413-4a00-92af-0712b381e11d","Laine__Erkka"
"efde6da5-ade6-402c-912d-d29841bc1a35","Yeung__Yau-yuen"
"f1c4fcf1-c1ba-4d53-8edc-97ebecd6d01e","Lee__Silvia_Wen-Yu"
"aa59e50d-9292-4847-a49a-295e6a49610f","Ziebarth__Sabrina"
"c812f821-5b40-404b-9b9d-993348586c7b","Gillespie__Amy"
"4e23b130-f2fc-413d-8af2-7756c6e53c52","Cisterna__Dante"
"a4efe198-7198-433e-96a9-0d2bde247c1b","Olson__Izabel_Duarte"
"6795b931-a771-4bc4-805f-c602bf478137","Kyza__Eleni"
"87863d71-203b-4c9a-a8f2-b26bad24bdb2","Georgiou__Yiannis"
"db3ff467-29b8-4a31-89be-ef0f01039261","Shinohara__Mayumi"
"359bfc8e-935a-4fdf-b676-865730842cac","Hmelo-Silver__Cindy"
"d8bd6994-1bb8-4c03-880b-8cdda9b2b937","Scopelitis__Stephanie"
"3ff9018c-5cfd-4970-ace4-cabcdfc40534","Hickey__Daniel"
"4ed91dcc-8431-48bc-b3c3-991f019096eb","Tutwiler__M._Shane"
"6dc64378-c288-4d8d-86c4-e799a51a828b","Gresalfi__Melissa"
"07ae54b4-a258-4782-87ff-b0a0864c7372","Langer-Osuna__Jennifer"
"bdf7e5e6-8435-48cf-9a25-418746b7d7b4","Dolle__Jonathan"
"90d0aabb-354d-4bd5-9023-eba116efa538","Curwood__Jen_Scott"
"0ee5f13e-65bb-4dde-811b-44910ff8baaa","Itow__Rebecca"
"00840597-8dfe-4205-a262-5c95ced7586c","Johnson__Emily"
"29887b28-e581-4a35-b9c0-a34a45de8ab3","Roberts__Jessica"
"25e6e8db-59c5-416f-b764-b87b1cf55a35","Kennedy-Clark__Shannon"
"d88068ee-59f2-4a44-bb00-59c14d170d1e","Worsley__Marcelo"
"1f535042-ea62-4e27-a8b1-dab1bb46913d","Swanson__Hillary"
"30c91a21-66a7-4c3f-89df-67c8e13de1fd","Resendes__Monica"
"5b62039f-41d8-42b9-a8f6-ea084a49d591","Rosenbaum__Claire"
"f4064cbf-2ec3-47a6-9c12-a10490b2bafb","Gerard__Libby"
"4d3e2fcc-9ea7-4bf1-96ce-9857f2309972","Miyake__Naomi"
"5707aa70-3340-4c4d-82dd-b4b2bcbebdd6","Fuhrmann__Tamar"
"664541b5-8125-4006-8fb3-60e24756ea35","Mendiburo__Maria"
"e11219e9-03ec-4f56-b758-0ce5d401d958","Kennedy-Clark__Shannon"
"76eb8c64-6fc7-4831-8405-84406b534699","Cober__Rebecca"
"25a73619-7be2-4b7a-929c-1dd1c81bed5e","Chai__Ching_Sing"
"16718339-959b-43ac-b3ba-4881f0c77039","Evans__Michael"
"39e98ccd-9890-4cb7-be00-667d601a9860","Vosniadou__Stella"
"3f389d8a-dcf8-4080-81f0-b5a6e6a7193a","Smørdal__Ole"
"78439dd1-08ef-4e3a-9b9a-cfb1fbc430fc","Stevens__Reed"
"5d0916d4-47b1-4997-b0b8-da86c8e5a820","Abrahamson__Dor"
"8b01ebcc-315e-46fd-b095-9479137bcb8c","Moskaliuk__Johannes"
"a2c99d9b-fd57-4de7-81ad-f73fda7318f9","Clegg__Tamara"
"a8830436-1f40-40e5-b49c-2a317c14b32b","Scardamalia__Marlene"
"36a64b0f-95db-43f1-95ca-2e34a230821d","Wilensky__Uri"
"6cdf6e0e-0555-4c50-80a3-158c17ea64a5","Engeström__Ritva"
"56aa31bd-9806-4c93-9948-8de1b930b086","Taylor__Holly_A."
"4979b500-09be-4aaa-873b-6a6d017f0b6e","Craft__Brock"
"8131fd9f-9b2c-4d86-b7db-e09e28f2aded","Park__Soonhye"
"7f8486e6-ca51-4d29-8999-ee427c0074b4","Baker__Ryan"
"1e13b149-b4aa-467b-8dd0-3085105f270e","Forest__Dominique"
"dbdd0e36-211b-4fc4-b897-5065436f4e6c","Shaffer__David_Williamson"
"ae65c3e6-437c-4c78-bbba-e9541cd39ad0","Yoon__Susan"
"567a12a9-1a46-45ba-a4d2-b04ee7ad83fb","Fields__Deborah"
"8e3b4cdf-e8bb-4015-8b0a-1efd4a9354fc","Kafai__Yasmin"
"a6070eb7-7f02-42c8-bc6c-2efd36ad6ada","Morton__Karisma"
"2d5c7031-6b33-4951-a207-2dcc37ecd0cc","Yuen__Johnny"
"20d7bf73-99c8-470f-8731-4410a748192b","Vauras__Marja"
"d0159478-7f1d-46f6-9b2f-35989e4c5351","Slotta__Jim"
"9cddfb74-f5ed-487c-a5d8-1e478687cbd8","Hsu__Ching-Kun"
