"Author","CommR"
"Abdu__Rotem",51
"Abrahamson__Dor",23
"Acosta__Alisa",2
"Adanır__Gu.lgu.n_Afacan",22
"Aditomo__Anindito",5
"Ahn__June",12
"Albrecht__Julia",19
"Allert__Heidrun",19
"Amzalag__Meital",3
"Anderson__Emma",7
"Andrade__Alejandro",17
"Angersbach__Jennifer",2
"Antle__Alissa_Nicole",1
"Arastoopour__Golnaz",49
"Arnedillo.Sanchez__Inmaculada",33
"Arnseth__Hans_Christian",6
"Azevedo__Roger",1
"Baram.Tsabari__Ayelet",3
"Barzilai__Sarit",3
"Ben.Zvi__Dani",3
"Bhatnagar__Sameer",11
"Blikstein__Paulo",4
"Bonsignore__Elizabeth",12
"Borge__Marcela",1
"Boyle__Bryan",33
"Brami__Uzi",3
"Bresser__Nicolas",9
"Bronet__Murray",30
"Buder__Ju.rgen",15
"Bumbacher__Engin",4
"Caballero__Daniela",4
"Cabo__Candido",42
"C.akır__Murat_Perit",22
"Carafano__Peter",39
"Carvalho__Lucila",5
"Catrambone__Richard",26
"Cerratto.Pargman__Teresa",32
"Chai__Ching_Sing",27
"Chakravarthi__Rohit",21
"Chan__Carol",43
"Charles__Elizabeth_S.",11
"Chen__Bodong",18
"Chen__Mei.Hwa",10
"Chen__Wenli",4
"Chounta__Irene.Angelica",8
"Clegg__Tamara",12
"Cober__Rebecca",2
"Collin__Jonas",24
"Cook__Lucas",29
"Cuendet__Se.bastien",4
"d.Apollonia__Silvia",30
"Dams.a__Crina",53
"Danish__Joshua",17
"Dascalu__Mihai",9
"Dasgupta__Chandan",2
"Davidsen__Jacob",44
"Deiglmayr__Anne",2
"Dessus__Philippe",9
"Dillenbourg__Pierre",4
"Dimitriadis__Yannis",5
"Dolonen__Jan_Arild",38
"Dornfeld__Catherine",16
"Downton__Michael_P.",50
"Duek__Oshra",3
"Dugdale__Michael",11
"Duncan__Sean_C.",29
"Dyke__Gregory",5
"Eimler__Sabrina",8
"Elias__Nelly",3
"Engelmann__Tanja",15
"Enyedy__Noel",17
"Evans__Chad",7
"Evans__Michael",5
"Evenstone__Amanda_L.",16
"Fan__Min",1
"Farnsworth__Jesse",1
"Fauville__Ge.raldine",6
"Ferschke__Oliver",1
"Fischer__Frank",1
"Flood__Virginia_J.",23
"Fong__Cresencia",2
"Forssell__Karin_S.",2
"Fujita__Wataru",34
"Funk__Alexandra_L.",2
"Gaydos__Matthew",47
"Georgen__Chris",29
"Gil__Alfredo_Jornet",6
"Gnesdilow__Dana",16
"Gnoli__Alessandro",2
"Goggins__Sean",28
"Goodyear__Peter",5
"Guillemette__Jonathan",11
"Guribye__Frode",31
"Hakkarainen__Kai",6
"Ha.kkinen__Pa.ivi",1
"Hao__Jiangang",20
"Hardy__Lisa",41
"Hartmann__Christian",2
"Hecking__Tobias",8
"Hernwall__Patrik",24
"Hesse__Friedrich_W.",15
"Hirayama__Ryoya",13
"Hmelo.Silver__Cindy",45
"Hoadley__Christopher",3
"Hong__Huang.Yao",27
"Hoppe__Ulrich",8
"Howley__Iris",1
"Huang__Lixiao",5
"Huang__Yue",10
"Hung__Guo.Tsai",27
"Israel__Maya",2
"Jan__Mingfong",47
"Ja.rvela.__Sanna",1
"Ja.rvenoja__Hanna",1
"Jeong__Heisawn",45
"Jermann__Patrick",4
"Jona__Kemi",35
"Joyce.Gibbons__Andrew",2
"Judson__Darlene",10
"Kali__Yael",3
"Karlstro.m__Petter",32
"Ke__Fengfeng",39
"Kent__Carmel",3
"Khoo__Michael",22
"Khosronejad__Maryam",5
"Kidron__Adi",3
"Kim__Beaumie",52
"Kim__So_Mi",28
"Kirschner__Paul",3
"Klopfer__Eric",7
"Kluge__Anders",38
