"Author","CommR"
"X__Chris",15
"Abrahamson__Dor",153
"Adams__Robin",49
"Agan__Lori",110
"Agnew__Grace",4
"Ai__Hua",46
"Ainsworth__Shaaron",2
"Alagoz__Esra",3
"Aleven__Vincent",38
"Alonzo__Alicia_C.",154
"Alterman__Richard",87
"Anastopoulou__Stamatina",4
"Anderson__Janice",135
"Anderson__Kate",31
"Apedoe__Xornam_S.",62
"Aprea__Carmela",14
"Arici__Anna",31
"Asher__Itay",6
"Asterhan__Christa",1
"Atzmon__Shirley",1
"Austin__Kimberly",8
"Ayaz__Hasan",1
"Azevedo__Roger",2
"Badreddine__Zeynab",64
"Bagley__Elizabeth",54
"Baglin__Shawn",78
"Baines__AnnMarie",5
"Bakar__Aysegul",3
"Baker__Eva_L.",80
"Baker__Michael",1
"Baker__Ryan",2
"Bang__Megan",18
"Barab__Sasha",31
"Barron__Brigid",8
"Barth.Cohen__Lauren",10
"Barton__Angela_Calabrese",5
"Bass__Michelle",9
"Bates__Lauren",11
"Bauhoff__Vera",77
"Baumgartner__Adrian",85
"Becu.Robinault__Karine",115
"Belenky__Dan",1
"Bell__Philip",5
"Berland__Leema",21
"Berland__Matthew",21
"Bernstein__Debra",129
"Berson__Eric",47
"Besterfield.Sacre__Mary",57
"Betrancourt__Mireille",71
"Bielaczyc__Katerine",86
"Blair__Kristen_Pilner",16
"Blikstein__Paulo",37
"Bolger__Molly",51
"Boling__Erica",40
"Bollen__Lars",2
"Booker__Angela",16
"Bopardikar__Anushree",9
"Borge__Marcela",101
"Boticki__Ivica",24
"Boxerman__Jonathan",13
"Brady__Corey",98
"Bransford__John",2
"Brar__Rozy",96
"Brashear__Helene",25
"Braun__Isabel",41
"Bricker__Leah_A.",5
"Bromme__Rainer",122
"Brown__Matthew",5
"Brown__Megan",2
"Brown__Patrick",7
"Bruckman__Amy",25
"Bryan__Lynn",123
"Buckland__Luke",70
"Buechley__Leah",37
"Buksh__Arzoo",2
"Butera__Fabrizio",1
"Butler__Ruth",1
"Buty__Christian",64
"Cakir__Murat",1
"Cardella__Monica",116
"Carlsen__William",69
"Carmichael__Adrian",9
"Carr__Margaret",36
"Carroll__John_M.",101
"Caswell__Tom",21
"Cathcart__Laura",22
"Catley__Kefyn",2
"Catrambone__Richard",105
"Chaffee__Rachel",43
"Chai__Ching_Sing",39
"Chan__Carol_KK",121
"Chan__Wen.Ching",39
"Chan__Yuen.Yan",150
"Chang__Hsin.Yi",2
"Chang__Yu.Han",39
"Charles__Elizabeth",15
"Chase__Catherine_C.",66
"Chen__Fei.Ching",39
"Chen__Gaowei",1
"Chen__Wenli",24
"Cheng__Britte",11
"Chia__Peichun",60
"Chin__Chee.Kuen",19
"Ching__Cynthia",1
"Ching__Cynthia_Carter",44
"Chini__Jacquelyn_J.",9
"Chinn__Clark",70
"Chiu__Jennifer",2
"Chiu__Ming_Ming",1
"Cho__Byeong.Young",45
"Chu__Sarah",3
"Chung__Chen.Wei",76
"Chung__Gregory_K.W.K.",80
"Chuy__Maria",88
"Clark__Dav",118
"Clark__Douglas_B.",3
"Clarke.Midura__Jody",3
"Claudia__Sauter",20
"Clegg__Tamara",68
"Close__Hunter_G.",120
"Coffey__Janet",53
"Colestock__Adam",13
"Compton.Lilly__Catherine",3
"Confrey__Jere",117
"Conlin__Luke",28
"Connolly__Kathleen_G.",18
"Constantinou__Constantinos",6
"Cowie__Bronwen",36
"Creighton__Jean",4
"Cress__Ulrike",20
"Cromwell__Folashade_Solomon",18
"Crook__Charles",4
"Cui__Guoqiang",7
"Curwood__Jen_Scott",9
"D.Angelo__Cynthia_M.",3
"Danielak__Brian_A.",28
"Danish__Joshua",83
"Darnon__Celine",1
"Dasgupta__Chandan",5
"Davis__Heidi",75
"Davis__Pryce",128
"de_Araujo__Zandra",48
"de_Jong__Ton",4
"De_Wever__Bram",15
"Delacruz__Girlie_C.",80
"Delgado__Cesar",133
"Denham__Andre",3
"Derry__Sharon",4
"DeVane__Benjamin",125
"Dianovsky__Michael",29
"Diaz__Lisa_Bouillion",4
"Dixon__Bonnie",22
"Diziol__Dejana",1
"Dodick__Jeff",114
"Dorsey__Chad",2
"Dotger__Benjamin",100
"Drake__Corey",5
"Drechsel__Elisabeth",7
"Dugan__Therese_E.",7
"DuMont__Maneksha",21
"Duncan__Ravit",23
"Duncan__Sean",156
"Dunn__Margie",32
"Dyehouse__Melissa",30
"Eagan__Brendan_R.",4
"Earnest__Darrell",130
"Eberbach__Catherine",4
"Ebner__Hermann_G.",14
"Edwards__Ann",53
"El.Moslimany__Hebbah",23
"Elby__Andrew",28
"Ellenbogen__Kirsten",5
"Emig__Brandon",106
"Empson__Susan",32
"Engle__Randi",113
"Engler__Jan",67
"Enyedy__Noel",3
"Erkens__Gijsbert",14
"Erlandson__Benjamin",3
"Eseryel__Deniz",94
"Esmonde__Indigo",16
"Evans__Emily",44
"Evans__Michael",7
"Faber__Elizabeth",44
"Fang__Jun",30
"Fantini__Paola",33
"Farrar__Cathy",12
"Festner__Dagmar",35
"Fields__Deborah",44
"Filsecker__Michael",4
"Finkelstein__Carla",53
"Fischer__Frank",61
"Fischer__Ursula",20
"Florax__Mareike",99
"Fluet__Kimberly",43
"Foong__Seekit",60
"Forbes__Cory",15
"Forin__Tiago",49
"Forte__Andrea",21
"Frank__Brian",124
"Frauwirth__Kenneth",22
"Frey__Regina",7
"Fristoe__Teale",112
"Fuerstenau__Baerbel",14
"Fujita__Nobuko",59
"Furtak__Erin_Marie",52
"Gadgil__Soniya",1
"Gagliardi__Marta",33
"Gallagher__Lawrence_P.",11
"Ganaim__Lina",6
"Gane__Brian",105
"Gardner__Christina",68
"Gardner__Grant",34
"Gavota__Monica",71
"Gawel__Drue",2
"Gaydos__Matthew",155
"Gealy__Daniel",7
"Gegenfurtner__Andreas",35
"Gerard__Libby",2
"Gerhards__Gisela_M.",74
"Giesbers__Bas",42
"Gijselaers__Wim",42
"Gire__Elizabeth",9
"Gnesdilow__Dana",9
"Gobert__Janice",2
"Goehring__Elizabeth",69
"Goel__Ashok",4
"Goh__Sao.Ee",50
"Goldberg__Fred",109
"Goldman__Shelley",16
"Goldman__Susan",29
"Gomez__Kimberley",8
"Gomez__Louis",8
"Gong__Cheng",19
"Gotwals__Amelia",107
"Gourley.Delaney__Pamela",16
"Graville__Cynthia",12
"Gray__Steven",4
"Greenlee__Andrew",5
"Gresalfi__Melissa",31
"Gressick__Julia",4
"Grigholm__Linda",7
"Grosshandler__Dean",4
"Gruber__Hans",35
"Gupta__Ayush",28
"Gutierrez__Jose",141
"Gvili__Inbal_Flash",114
"Hackbarth__Alan_J.",4
"Hadjichambis__Andreas",6
"Hall__Rogers",13
"Halverson__Erica",9
"Halverson__Kristy",2
"Halverson__Richard",9
"Hamilton__Eric",57
"Hamilton__Harley",25
"Hammer__David",28
"Hammer__Ronen",79
"Hans.Christoph__Nuerk",20
"Hansen__Martha",8
"Hanss__Ted",17
"Hansson__Lena",6
"Harris__Christopher_J.",11
"Harris__Constance",30
"Hatfield__David",54
"Haug__Stephanie",1
"Heckler__Andrew",148
"Held__Christoph",20
"Hemphill__Libby",17
"Henson__Kathleen",52
"Herbst__Patricio",82
"Herman__Phillip",8
"Herrenkohl__Leslie",4
"Hershkowitz__Rina",1
"Hesse__Friedrich_W.",16
"Hewitt__Jim",90
"Hickey__Daniel",3
"Hmelo.Silver__Cindy",4
"Hoadley__Christopher",1
"Hokayem__Hayat",107
"Holbert__Nathan",26
"Holyoak__Keith",63
"Hong__Huang.Yao",39
"Honwad__Sameer",4
"Hope__Jen",12
"Hoppe__Ulrich",67
"Horn__Michael",37
"Hough__Mary",40
"Hsi__Sherry",5
"Huff__Markus",77
"Hupert__Naomi",11
