"Author","CommR"
"X_",36
"Abdu__Rotem",73
"Abed__Fayez",39
"Abrahamson__Dor",73
"Adach__Aleksandra",36
"Adair__Amy",26
"Adams.Wiggins__Karlyn_R.",81
"Adler__Idit",66
"Aftab__Ammarah",2
"Agesilaou__Andria",153
"Aguinaga__Jacob_M.",70
"Ahmed__Shaeema_Zaman",29
"Ahn__June",48
"Akcay__Hakan",7
"Aldemir__Tugce",4
"Aleven__Vincent",28
"Alibali__Martha_W.",28
"Allen__Anna.Ruth",20
"Allen__Laura_K.",14
"Allman__Bohdana",130
"Alozie__Nonye",63
"AlQahtani__Mona",4
"Altshuler__Mari",67
"Amarasinghe__Ishari",98
"Amato__Anna",12
"Amir__Ofra",80
"Amundrud__Anja",5
"An__Haokang",11
"Andersen__Renate",38
"Anderson__Eleanor_R.",67
"Anderson__Emma",142
"Andrus__Brian_M.",6
"Ansari__Ummie",37
"Anton__Gabriella",6
"Aprin__Farbod",46
"Araos__Andrés",101
"Ariely__Moriah",3
"Askew__Rachel",1
"Av.Shalom__Na.ama_Y.",3
"Avadhanam__Rukmini",5
"Avry__Sunny",88
"Azevedo__Flávio_S.",76
"Azevedo__Roger",65
"Bachelor__Ashley",87
"Bae__Haesol",9
"Baggaley__Stuart",15
"Bain__Connor",6
"Bakal__Michael",1
"Balasubramaniam__Ramesh",73
"Baldinger__Erin_E.",120
"Ballelos__Nikki_Anne_M.",65
"Balyan__Renu",14
"Banawan__Michelle",14
"Bang__Megan",1
"Banzon__Allison_M.",65
"Barany__Amanda",42
"Barclay__Rich",8
"Barnes__Tiffany..Wiebe__Eric..Fields__Deborah..Kafai__Yasmin..Tofel.Grehl__Colby..Giang__Michael..Sun__Jen..Strawhacker__Amanda..Hansen__Tyler..Slotta__Jim",2
"Barron__Brigid",4
"Bartel__Anna_N.",28
"Barth.Cohen__Lauren",49
"Barth.Cohen__Lauren_A.",151
"Barton__Angela_Calabrese",2
"Barzilai__Sarit",39
"Bastani__Reyhaneh",93
"Basu__Satabdi",10
"Bauer__Elisabeth",13
"Beckert__Betsy",1
"Belland__Brian_R.",137
"Ben.Dor__Naama",146
"Bene__Emma_P.",53
"Bennett__Katrina_A.",7
"Bergner__Yoav",1
"Bermudez__Vanessa_N.",48
"Bernier__Jeremy",16
"Betts__Cameron",26
"Bex__Richard_T.",9
"Bhowmik__Saptarshi",17
"Bichler__Sarah",7
"Bielaczyc__Katerine",166
"Bigman__Maxwell",44
"Billings__Kelly",7
"Biswas__Gautam",10
"Blikstein__Paulo",2
"Bofferding__Laura",121
"Bogart__Christopher",11
"Boldyreva__Elena",5
"Bomar__Anjelique",6
"Boomgaarden__Antje",25
"Borge__Marcela",4
"Botch__Madison",90
"Boucher__Nicole",16
"Bowhay__Ciana",34
"Boyer__Kristy_Elizabeth",9
"Braasch__Jason_L._G.",78
"Bradford__Allison",7
"Brady__Corey",1
"Brand__Charleen",25
"Brennan__Karen",72
"Brenner__Eric",2
"Britt__Anne",6
"Britt__M._Anne",6
"Bryant__Tonya",21
"Bumbacher__Engin",12
"Burgas__Kim",12
"Burron__Garrick",5
"Bustamante__Andres_S.",48
"Byman__Jenny_Renlund_and_Jenny",110
"Byrne__Virginia",8
"Caballero__Daniela",47
"Cabrera__Lautaro",8
"Cady__Alice",60
"Campos__Fabio_C.",131
"Cao__Lydia_Y.",156
"Carlson__Spencer",4
"Carvalho__Renato",5
"Castro.Faix__Moraima",3
"Catete__Veronica",2
"Cavera__Veronica_L.",3
"Cederquist__Steven",111
"Cekaite__Asta",1
"Celepkolu__Mehmet",9
"Chakraborty__Shayok",17
"Chaloner__Kim",12
"Champion__Dionne",1
"Chan__Carol",62
"Chan__Carol_K._K.",133
"Chan__Jenny_Yun.Chen",22
"Chang__Jaemyong",113
"Chang__Yu.Hui",5
"Chao__Jie",23
"Chartrand__Grant_T.",106
"Chavez__Rosa",3
"Chen__Bodong",5
"Chen__Gaowei",71
"Chen__Helen",4
"Chen__Jie",2
"Chen__Mei.Hwa",5
"Chen__Rachel",1
"Chen__Si",43
"Cheng__Yihong",134
"Cheong__Christy_Weng.Lam",51
"Chernikova__Olga",13
"Cheung__Marcus_Y.Y.",2
"Chew__Phebe",48
"Chi__Michelene_T._H.",16
"Chinn__Cark",3
"Chinn__Clark",3
"Chiu__Jennifer_L.",10
"Chiu__Yu.Chen",30
"Chng__Edwin",21
"Cho__J.Yohan",16
"Cho__Kyungjin",90
"Choi__Daniel",34
"Chong__Cierra",2
"Chong__Kit.Ying_Angela",59
"Chowdhury__Mahjabin",34
"Clark__Douglas_B.",74
"Clark__Heather_F.",177
"Clarke.Midura__Jody",1
"Clarke__Sherice",92
"Clarke__Sherice_N.",87
"Closser__Avery_H.",22
"Coelho__Raquel",147
"Coenraad__Merijke",8
"Cohen__Rinat_Levy",77
"Colleni__Mckay",15
"Conner__Laura_D._Carsten",100
"Copel__Liat",66
"Cortés__Luis_E._Pérez",16
"Cortez__Arturo",1
"Cosic__Lana",1
"Cottone__Amanda",27
"Cottone__Amanda_M.",27
"Coven__Madeline",23
