"Author","tDegr","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021"
"Fischer__Frank",299,"","","","collaborative.learning","learning.environment","collaboration.script","empirical.study","collaboration.script","collaboration.script","collaborative.learning","collaborative.learning","problem.solving","learning.environment","","","","collaborative.learning","collaborative.learning","collaborative.learning","collaborative.inquiry","collaborative.learning","learning.science","high.school","","collaborative.learning","prior.knowledge"
"Hmelo.Silver__Cindy",283,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Danish__Joshua",255,"","","","","","","","","conceptual.understanding","case.study","student.learning","","student.collaborative","","","","","young.child","","learning.science","","design.principle","learning.experience","young.child","learning.activity","learning.environment"
"Kafai__Yasmin",238,"","","","learning.environment","","","","design.project","collaborative.learning","social.network","","collaborative.learning","collaborative.learning","social.interaction","design.project","","","case.study","learning.environment","","high.school","video.game","high.school","computational.thinking","understanding.learning","high.school"
"Rummel__Nikol",234,"","","","learning.environment","collaborative.process","collaborative.process","collaborative.learning","collaborative.learning","collaboration.script","learning.environment","collaborative.learning","collaborative.learning","","","","","collaborative.learning","collaborative.process","collaborative.learning","learning.opportunity","learning.outcome","student.learning","conceptual.knowledge","collaborative.learning","network.analysis","problem.solving"
"Enyedy__Noel",212,"","case.study","learning.environment","","","","","","conceptual.understanding","case.study","student.learning","","learning.environment","","learning.environment","","","","learning.environment","science.learning","","learning.environment","learning.experience","science.classroom","learning.science","learning.environment"
"Linn__Marcia",203,"science.education","","","design.principle","","","","learning.science","learning.environment","case.study","middle.school","collaborative.learning","professional.development","","","","","learning.science","high.school","student.learning","student.learning","case.study","learning.environment","instructional.design","student.learning","middle.school"
"Hall__Rogers",170,"","","","","","","learning.science","","","","","collaborative.learning","collaborative.learning","","","","learning.environment","","","learning.science","","learning.science","","learning.science","learning.environment",""
"Tissenbaum__Mike",167,"","","","","","","","student.teacher","collaborative.learning","collaborative.learning","","","qualitative.analysis","","","","","","","","learning.science","design.principle","learning.environment","computational.thinking","learning.science","collaborative.learning"
"Yoon__Susan",165,"","","","science.classroom","","","social.network","professional.development","learning.science","learning.environment","complex.system","middle.school","professional.development","","","","learning.environment","professional.development","case.study","complex.system","middle.school","learning.environment","learning.science","high.school","professional.development","science.curriculum"
"Clark__Douglas_B.",161,"","","","science.education","","science.education","learning.environment","","","support.learning","","","","","","","learning.environment","collaborative.learning","student.learning","science.learning","learning.environment","learning.environment","","professional.development","learning.process","teacher.student"
"Slotta__James",161,"","","","science.education","","case.study","learning.environment","student.learning","collaborative.learning","collaborative.learning","learning.environment","student.group","","","","","","","learning.environment","science.teacher","learning.science","high.school","learning.environment","","","learning.community"
"Sengupta__Pratim",158,"","","","","","","","","","","","","","","","","","","learning.environment","case.study","","middle.school","learning.environment","learning.science","learning.environment","learning.environment"
"Wilensky__Uri",156,"","","","","","","","","","learning.science","","middle.school","learning.environment","","","complex.system","","learning.science","learning.environment","case.study","learning.environment","learning.science","high.school","computational.thinking","computational.thinking","computational.thinking"
"Rose__Carolyn",155,"","","","","","collaborative.learning","collaborative.learning","","collaborative.learning","collaborative.learning","","collaborative.process","collaborative.learning","","","","","","learning.environment","learning.environment","collaborative.learning","","learning.science","experimental.study","collaborative.learning","learning.gain"
"Barron__Brigid",149,"","","","problem.solving","","","learning.science","community.practice","","learning.environment","","collaborative.learning","ethnographic.study","","","","learning.environment","theoretical.framework","learning.environment","learning.environment","","learning.science","","learning.environment","young.child","learning.environment"
"Lindgren__Robb",148,"","","","professional.development","","","learning.environment","collaborative.learning","","learning.environment","","","learning.environment","","","","","learning.activity","","","middle.school","learning.environment","middle.school","case.study","learning.environment","learning.environment"
"Penuel__William",148,"","","","case.study","","","","","collaborative.learning","","","","","","","","science.classroom","professional.development","collaborative.learning","science.curriculum","middle.school","learning.science","learning.environment","","case.study","learning.environment"
"Bang__Megan",146,"","","","","","","","","","","","collaborative.learning","","","","","","","","learning.environment","","learning.science","learning.environment","learning.environment","learning.science","learning.environment"
"Bell__Philip",144,"science.education","collaborative.learning","","","","","","","","","","collaborative.learning","","","","learning.environment","learning.environment","conceptual.understanding","learning.environment","science.learning","high.school","learning.environment","learning.environment","science.education","learning.environment",""
