,key,value
0,collaborative learning,19
1,learning environment,11
2,student ’,8
3,problem solving,6
4,two different,6
5,paper present,5
6,analysis method,4
7,knowledge building,4
8,cscl environment,4
9,paper focus,4
10,cscl system,4
11,shared understanding,4
12,computer-supported collaborative,3
13,design principle,3
14,learning paper,3
15,paper describes,3
16,discus design,3
17,learning activity,3
18,secondary school,3
19,preliminary result,3
20,paper discus,3
21,network analysis,3
22,social network,3
23,online learning,3
24,result two,3
25,virtual learning,3
26,support collaborative,3
27,research project,3
28,collaborative problem,3
29,collaborative process,3
30,theoretical framework,3
31,computer supported,3
32,take place,3
33,” “,3
34,computer-supported learning,2
35,aspect learning,2
36,used learning,2
37,diverse learning,2
38,collaborative virtual,2
39,environment however,2
40,argumentative text,2
41,space debate,2
42,way student,2
43,learning student,2
44,principle address,2
45,design experiment,2
46,environment support,2
47,knowledge creation,2
48,software agent,2
49,agent support,2
50,student working,2
51,distributed collaborative,2
52,present approach,2
53,chat tool,2
54,interaction analysis,2
55,significant difference,2
56,research concerned,2
57,describe preliminary,2
58,learning process,2
59,problem-based learning,2
60,provides mean,2
61,management system,2
62,paper introduces,2
63,framework built,2
64,result indicate,2
65,two study,2
66,collaborative knowledge,2
67,building principle,2
68,mediated collaborative,2
69,explanation found,2
70,compared two,2
71,use tool,2
72,anchored discussion,2
73,approach support,2
74,future research,2
75,environment collaborative,2
76,different type,2
77,paper identifies,2
78,learning management,2
79,collaborative exercise,2
80,’ virtual,2
81,paper describe,2
82,study part,2
83,method used,2
84,nature virtual,2
85,discussion among,2
86,field study,2
87,among participant,2
88,found student,2
89,address issue,2
90,different problem,2
91,work reported,2
92,collaborative modelling,2
93,school student,2
94,modelling activity,2
95,study investigating,2
96,paper report,2
97,networked collaborative,2
98,teacher student,2
99,activity system,2
100,participant ’,2
101,time space,2
102,control condition,2
103,variable result,2
104,experimental condition,2
105,dependent variable,2
106,mental model,2
107,supported collaborative,2
108,’ problem,2
109,representation collaborative,2
110,new opportunity,2
111,system used,2
112,learning community,2
113,experience field,2
114,different kind,2
115,mixed reality,2
116,allows u,2
117,e. g.,2
118,system cscl,2
119,group communication,2
120,knowledge skill,2
121,’ participation,2
122,’ motivation,2
123,far developed,2
124,learner ’,2
125,learning situation,2
126,result suggest,2
127,educational resource,1
128,might used,1
129,learning theory,1
130,instructionalism cost,1
131,field cscl,1
132,learning therefore,1
133,purpose respect,1
134,important rethink,1
135,becomes important,1
136,describing educational,1
137,concept underlying,1
138,use standardized,1
139,theory including,1
140,ongoing issue,1
141,metadata paper,1
142,respect diverse,1
143,learning purpose,1
144,service current,1
145,resource one,1
146,object annotation,1
147,focus instructionalism,1
148,paper propose,1
149,one ongoing,1
150,neglecting collaborative,1
151,field computer-supported,1
152,metadata still,1
153,collaborative cooperative,1
154,extension describing,1
155,rethink concept,1
156,describe resource,1
157,underlying current,1
158,relevant field,1
159,face extension,1
160,current standard,1
161,cooperative aspect,1
162,resource might,1
163,annotation learning,1
164,standard educational,1
165,allows describe,1
166,educational metadata,1
167,model allows,1
168,standardized metadata,1
169,learning service,1
170,learning face,1
171,cost neglecting,1
172,issue field,1
173,describing learning,1
174,data model,1
175,still focus,1
176,including relevant,1
177,therefore becomes,1
178,propose data,1
179,metadata describing,1
180,learning object,1
181,based audio,1
182,environment communication,1
183,audio textual,1
184,measure subjective,1
185,communication process,1
186,effect nonverbal,1
187,sign communication,1
188,communication variable,1
189,therefore computer-supported,1
190,message therefore,1
191,cscl application,1
192,like gesture,1
193,learning cscl,1
194,smoother communication,1
195,level statistical,1
196,regard cscl,1
197,lead higher,1
198,providing nonverbal,1
199,however lead,1
200,gesture available,1
201,result discussed,1
202,cscl subjected,1
203,objective communication,1
204,interruption reach,1
205,sign collaborative,1
206,nonverbal sign,1
207,subjected restriction,1
208,process communication,1
209,sign relevance,1
210,investigate effect,1
211,nonverbal signal,1
212,communication effect,1
213,concerning process,1
214,performance measure,1
215,rating regarding,1
216,3d virtual,1
217,reach level,1
218,reported experimental,1
219,signal like,1
220,experimental study,1
221,higher motivation,1
222,computer-supported communication,1
223,performed investigate,1
224,availability nonverbal,1
225,relevance collaborative,1
226,statistical significance,1
227,subjective rating,1
228,study performed,1
229,textual message,1
230,number interruption,1
231,difference concerning,1
232,concerning objective,1
233,effect availability,1
234,variable number,1
235,motivation smoother,1
236,communication based,1
237,restriction concerning,1
238,virtual environment,1
239,available computer-supported,1
240,environment reported,1
241,process performance,1
242,regarding 3d,1
243,significance providing,1
244,process result,1
245,communication difference,1
246,discussed regard,1
247,study way,1
248,education discus,1
249,topic pair,1
250,product available,1
251,broaden deepen,1
252,effect graphical,1
253,collaborative phase,1
254,named scale1,1
255,student read,1
256,collaborative argumentation-based,1
257,collaborative argumentative,1
258,electronic environment,1
259,opinion topic,1
260,deepen space,1
261,student broaden,1
262,quality interaction,1
263,phase study,1
264,debate topic,1
265,available inspection,1
266,environment preceded,1
267,topic either,1
268,individual product,1
269,individual opinion,1
270,write collaborative,1
271,interaction computer-supported,1
272,part european,1
273,preceded individual,1
274,phase student,1
275,tool quality,1
276,european project,1
277,argumentation-based learning,1
278,upper secondary,1
279,either text,1
280,textual preparation,1
281,secondary education,1
282,inspection collaborative,1
283,graphical textual,1
284,read information,1
285,research part,1
286,discus topic,1
287,text diagram,1
288,project named,1
289,scale1 study,1
290,study effect,1
291,pair write,1
292,information represented,1
293,preparation tool,1
294,student upper,1
295,individual phase,1
296,represented individual,1
297,text electronic,1
298,diagram individual,1
299,student-instructor interaction,1
300,slide cf,1
301,level student-instructor,1
302,e.g. explanation,1
303,annotation present,1
304,classroom feedback,1
305,suggests cf,1
306,system suggests,1
307,class interaction,1
308,present instructor,1
309,yet critical,1
310,address specific,1
311,annotation e.g.,1
312,called classroom,1
313,interaction called,1
314,validated design,1
315,anonymizes annotation,1
316,eliciting student,1
317,delineate specific,1
318,cf anonymizes,1
319,preset annotation,1
320,system promoting,1
321,computer-mediated feedback,1
322,lecture slide,1
323,realizes principle,1
324,real time,1
325,instructor real,1
326,feedback system,1
327,guided iterative,1
328,specific challenge,1
329,design guided,1
330,interaction propose,1
331,paper electronic,1
332,position preset,1
333,address cf,1
334,establishes computer-mediated,1
335,cf increase,1
336,cf delineate,1
337,propose design,1
338,describes design,1
339,experiment paper,1
340,interaction address,1
341,large lecture,1
342,feedback student,1
343,system cf,1
344,participation large,1
345,student-initiated feedback,1
346,computer-mediated channel,1
347,explanation got,1
348,prototype validated,1
349,experiment computer-mediated,1
350,successive experiment,1
351,principle establishes,1
352,electronic prototype,1
353,refinement evidence,1
354,college class,1
355,large college,1
356,class notoriously,1
357,student position,1
358,critical learning,1
359,got directly,1
360,using feedback,1
361,evidence large,1
362,lecture study,1
363,cf realizes,1
364,notoriously difficult,1
365,study using,1
366,difficult yet,1
367,student participation,1
368,promoting class,1
369,increase level,1
370,challenge interaction,1
371,directly lecture,1
372,iterative refinement,1
373,channel student-initiated,1
374,time successive,1
375,software element,1
376,framework collaborative,1
377,order meet,1
378,theory knowledge,1
379,her/his learning,1
380,diverse type,1
381,nonaka 95,1
382,community discus,1
383,support self-directed,1
384,practice present,1
385,requirement environment,1
386,nonaka takeuchi,1
387,intentional learning,1
388,organization area,1
389,support diverse,1
390,awareness required,1
391,environment developed,1
392,knowledge virtual,1
393,based agent,1
394,prototype lifelong,1
395,generative intentional,1
396,based theory,1
397,management suitable,1
398,environment internet,1
399,suitable constructing,1
400,design implementation,1
401,type awareness,1
402,learning based,1
403,collaborative environment,1
404,self-directed generative,1
405,design issue,1
406,95 present,1
407,required allows,1
408,planning her/his,1
409,her/him collaborate,1
410,meet changing,1
411,define lifelong,1
412,knowledge based,1
413,issue lifelong,1
414,agent technology,1
415,developed based,1
416,internet based,1
417,present theory,1
418,creation nonaka,1
419,construction knowledge,1
420,present software,1
421,implementation ca,1
422,element assist,1
423,siel prototype,1
424,technology according,1
425,learning software,1
426,community practice,1
427,creation learning,1
428,proposing design,1
429,knowledge management,1
430,management proposing,1
431,support lifelong,1
432,supporting her/him,1
433,takeuchi nonaka,1
434,activity order,1
435,according requirement,1
436,present framework,1
437,environment define,1
438,lifelong learning,1
439,constructing virtual,1
440,based environment,1
441,society demand,1
442,allows social,1
443,ca siel,1
444,changing society,1
445,area knowledge,1
446,social construction,1
447,collaborate social,1
448,virtual community,1
449,assist learner,1
450,learning organization,1
451,learner planning,1
452,demand supporting,1
453,gave u,1
454,prototype test,1
455,finding gave,1
456,technology developed,1
457,agent mindmap,1
458,u useful,1
459,theoretical influence,1
460,investigate agent,1
461,implementing agent,1
462,software start,1
463,useful feedback,1
464,derived formative,1
465,agent prototype,1
466,developed shared,1
467,problem finding,1
468,influence describe,1
469,present interesting,1
470,working together,1
471,learning also,1
472,also suggestion,1
473,approach designing,1
474,interesting finding,1
475,shared collaborative,1
476,conducted investigate,1
477,describe approach,1
478,test agent,1
479,test conducted,1
480,future work,1
481,agent software,1
482,collaborative mindmap,1
483,designing implementing,1
484,incorporating agent,1
485,discussing theoretical,1
486,mindmap present,1
487,together solve,1
488,support distributed,1
489,joint problem,1
490,start discussing,1
491,usability test,1
492,formative usability,1
493,suggestion future,1
494,software technology,1
495,finding derived,1
496,impacted student,1
497,agent impacted,1
498,solve joint,1
499,approach incorporating,1
500,feedback agent,1
501,mindmap software,1
502,distinction learning,1
503,argue arguing,1
504,either chat,1
505,tool else,1
506,learn research,1
507,genetically modified,1
508,drew dialogical,1
509,tool designed,1
510,else argument-diagram,1
511,debate although,1
512,compared broadening/deepening,1
513,experiment compared,1
514,learn argumentative,1
515,across condition,1
516,web tool,1
517,’ text,1
518,text debating,1
519,organism using,1
520,debating across,1
521,difference student,1
522,educational web,1
523,quality student,1
524,dialogical reasoning,1
525,difference quality,1
526,cutting across,1
527,designed medium,1
528,condition new,1
529,“ rainbow,1
530,modified organism,1
531,new interaction,1
532,medium interactive,1
533,understanding space,1
534,interactive debate,1
535,revealed difference,1
536,debate secondary,1
537,across common,1
538,” revealed,1
539,tool drew,1
540,school experiment,1
541,learning argue,1
542,arguing learn,1
543,knowledge broadening,1
544,concerned arguing,1
545,broadening deepening,1
546,common distinction,1
547,argumentative knowledge,1
548,argument-diagram tool,1
549,reasoning educational,1
550,method “,1
551,although significant,1
552,elaboration argument,1
