,key,value
0,nan,66
1,learning environment,12
2,middle school,9
3,student learning,9
4,paper present,9
5,school student,7
6,community practice,7
7,learning science,6
8,science classroom,6
9,case study,5
10,grade student,5
11,help student,4
12,learning activity,4
13,school classroom,4
14,public school,4
15,science concept,4
16,learning process,4
17,finding suggest,4
18,prior knowledge,4
19,use technology,3
20,learning design,3
21,situated learning,3
22,conceptual understanding,3
23,individual student,3
24,subject matter,3
25,current research,3
26,design experiment,3
27,student understanding,3
28,help learner,3
29,design based,3
30,people learn,3
31,student achievement,3
32,high school,3
33,student use,3
34,teaching learning,3
35,future research,3
36,deeper understanding,3
37,reform science,3
38,problem solving,3
39,learner 's,3
40,study conducted,3
41,result indicate,3
42,professional development,3
43,present result,3
44,student learn,3
45,educational research,3
46,mathematics science,2
47,time created,2
48,grade integrated,2
49,environment particular,2
50,finding study,2
51,learning approach,2
52,learning community,2
53,two student,2
54,year study,2
55,within context,2
56,student participation,2
57,student develop,2
58,little attention,2
59,effort made,2
60,environment enabling,2
61,group member,2
62,real world,2
63,curriculum developed,2
64,series study,2
65,paper describes,2
66,research strategy,2
67,classroom context,2
68,computer programming,2
69,student create,2
70,motivate learning,2
71,design framework,2
72,elementary school,2
73,way teacher,2
74,student teacher,2
75,learning outcome,2
76,support learning,2
77,result suggest,2
78,sixth grade,2
79,ethnographic study,2
80,distributed cognition,2
81,varied context,2
82,research different,2
83,learning teaching,2
84,data collection,2
85,diversity learning,2
86,analysis method,2
87,collection analysis,2
88,year half,2
89,urban middle,2
90,based science,2
91,urban systemic,2
92,student participated,2
93,one component,2
94,content understanding,2
95,impact student,2
96,address need,2
97,systemic reform,2
98,reform effort,2
99,two teacher,2
100,handheld technology,2
101,learning gain,2
102,collaborative learning,2
103,seek understand,2
104,representational infrastructure,2
105,science mathematics,2
106,mathematics classroom,2
107,paper focus,2
108,guide student,2
109,pre-service teacher,2
110,learning task,2
111,paper describe,2
112,socially relevant,2
113,implication design,2
114,domain knowledge,2
115,science instruction,2
116,science learning,2
117,student science,2
118,student first,2
119,learning experience,2
120,simulation environment,2
121,promoting student,2
122,provide evidence,2
123,evidence support,2
124,science education,2
125,middle-school student,2
126,study investigates,2
127,student scientific,2
128,scientific reasoning,2
129,posttest score,2
130,study investigated,2
131,reading strategy,2
132,assessed using,2
133,better understanding,2
134,goal study,2
135,brief description,2
136,research method,2
137,support prior,2
138,may also,2
139,result first,2
140,student knowledge,2
141,teacher 's,2
142,scaffold student,2
143,little known,2
144,role technology,2
145,study investigate,2
146,two year,2
147,different type,2
148,result analysis,2
149,discus design,2
150,result study,2
151,design challenge,2
152,student project-based,2
153,way student,2
154,handheld computer,2
155,engage student,2
156,learning scientist,2
157,lead better,2
158,learning complex,2
159,related student,2
160,inform design,2
161,challenging science,2
162,science unit,2
163,measure reading,2
164,instructional practice,2
165,science student,2
166,understanding scientific,2
167,associated student,2
168,learning context,2
169,rich learning,2
170,organizational learning,2
171,designed enhance,2
172,result provide,2
173,using web-based,2
174,school underserved,2
175,study examines,2
176,relatively little,2
177,underserved student,2
178,relationship among,2
179,learning occurs,2
180,student engagement,2
181,engagement motivation,2
182,science text,2
183,understanding science,2
184,reading comprehension,2
185,solve problem,2
186,study provide,2
187,student additionally,2
188,'s interaction,2
189,contrasting case,2
190,well sensor,1
191,child may,1
192,interesting area,1
193,domain augmenting,1
194,discus learned,1
195,board well,1
196,microcontroller board,1
197,area exploration,1
198,technology roballet,1
199,conjunction national,1
200,robot program,1
201,movement primary,1
202,learning variety,1
203,science child,1
204,variety domain,1
205,future development,1
206,interest describe,1
207,art technology,1
208,environment child,1
209,wearing sensor,1
210,may otherwise,1
211,choreograph dance,1
212,program animation,1
213,sensor wireless,1
214,technology augment,1
215,animation light,1
216,child choreograph,1
217,expression open,1
218,institute discus,1
219,us technology,1
220,learned present,1
221,idea future,1
222,roballet environment,1
223,describe workshop,1
224,sensor device,1
225,augmenting performing,1
226,device environment,1
227,dance institute,1
228,movement wearing,1
229,environment interesting,1
230,ran conjunction,1
231,compose respond,1
232,exploration use,1
233,present idea,1
234,performing art,1
235,new area,1
236,national dance,1
237,present roballet,1
238,wireless microcontroller,1
239,area learning,1
240,build robot,1
241,endeavor open,1
242,workshop ran,1
243,open creative,1
244,primary goal,1
245,respond movement,1
246,open new,1
247,child build,1
248,augment expression,1
249,light music,1
250,goal endeavor,1
251,music compose,1
252,otherwise interest,1
253,dance movement,1
254,technology mathematics,1
255,creative expressive,1
256,expressive us,1
257,behind result,1
258,youth worked,1
259,performance analyze,1
260,initiative created,1
261,based residential,1
262,technologically immersive,1
263,constructionist learning,1
264,discus limit,1
265,factor behind,1
266,particular setting,1
267,environment time,1
268,also discus,1
269,one element,1
270,found many,1
271,setting youth,1
272,element learning,1
273,general also,1
274,limit exposed,1
275,past performance,1
276,present lesson,1
277,immersive environment,1
278,open learner-centered,1
279,intervention based,1
280,radically different,1
281,construction found,1
282,created radically,1
283,result shed,1
284,residential facility,1
285,learner-centered project-based,1
286,environment general,1
287,adjudicated youth,1
288,adjust one,1
289,youth initiative,1
290,result far,1
291,lesson experimental,1
292,created technologically,1
293,integrated inter-disciplinary,1
294,project-based way,1
295,exposed within,1
296,within experience,1
297,light learning,1
298,analyze factor,1
299,area choice,1
300,inter-disciplinary open,1
301,upon constructionist,1
