,key,value
0,student ’,84
1,learning environment,37
2,case study,36
3,teacher ’,32
4,learning science,30
5,learner ’,24
6,high school,24
7,collaborative learning,23
8,finding suggest,22
9,professional development,22
10,school student,21
11,learning experience,20
12,support student,17
13,science education,17
14,middle school,16
15,teacher learning,16
16,’ learning,16
17,computational thinking,15
18,paper present,14
19,design-based research,12
20,grade student,12
21,learning activity,12
22,covid-19 pandemic,12
23,support teacher,12
24,science teacher,12
25,teacher student,12
26,problem solving,11
27,student learning,11
28,make sense,11
29,’ understanding,11
30,finding show,11
31,child ’,11
32,thinking ct,11
33,paper report,10
34,study investigates,10
35,result show,10
36,science learning,10
37,study examines,10
38,knowledge building,9
39,prior knowledge,9
40,student engaged,9
41,science research,9
42,computer science,9
43,paper explores,9
44,school science,9
45,learning opportunity,9
46,computer-supported collaborative,8
47,study explored,8
48,study explores,8
49,student used,8
50,study present,8
51,qualitative analysis,8
52,teaching learning,8
53,teacher education,8
54,undergraduate student,8
55,design learning,8
56,analysis student,7
57,learning community,7
58,group member,7
59,present finding,7
60,learning outcome,7
61,network analysis,7
62,present study,7
63,’ use,7
64,teacher professional,7
65,data science,7
66,paper examines,7
67,discus implication,7
68,science curriculum,7
69,result suggest,7
70,conceptual framework,7
71,better understand,7
72,student experience,7
73,’ engagement,7
74,designed support,6
75,discourse analysis,6
76,learning cscl,6
77,’ idea,6
78,study investigated,6
79,result indicate,6
80,future direction,6
81,interaction analysis,6
82,university student,6
83,student participated,6
84,’ interaction,6
85,learning process,6
86,engage student,6
87,learning analytics,6
88,’ experience,6
89,student learn,6
90,science classroom,6
91,online learning,6
92,family ’,6
93,young child,6
94,virtual reality,6
95,’ reasoning,6
96,student able,6
97,two case,6
98,study examine,6
99,stem learning,6
100,student engagement,5
101,higher education,5
102,paper examine,5
103,study examined,5
104,programming environment,5
105,data collected,5
106,finding indicate,5
107,research learning,5
108,’ perception,5
109,support learning,5
110,paper describes,5
111,study explore,5
112,pilot study,5
113,preliminary finding,5
114,finding showed,5
115,opportunity student,5
116,et al.,5
117,secondary school,5
118,study finding,5
119,poster present,5
120,science teaching,5
121,discus design,5
122,classroom student,5
123,science course,5
124,student engage,5
125,climate change,5
126,data literacy,5
127,instructional practice,5
128,qualitatively analyzed,5
129,scientific practice,5
130,science practice,5
131,interview study,5
132,social practice,5
133,united state,5
134,little known,5
135,elementary teacher,5
136,paper discus,5
137,participant ’,5
138,two teacher,5
139,better understanding,5
140,research project,5
141,design process,5
142,identity development,5
143,participant engaged,4
144,way student,4
145,study conducted,4
146,knowledge construction,4
147,group activity,4
148,group ’,4
149,’ approach,4
150,young people,4
151,research design,4
152,learning context,4
153,pair programming,4
154,project-based learning,4
155,result revealed,4
156,student group,4
157,two pair,4
158,5th grade,4
159,young learner,4
160,data set,4
161,experimental condition,4
162,student n,4
163,game-based learning,4
164,one another,4
165,student work,4
166,seek understand,4
167,learning model,4
168,learning gain,4
169,knowledge learning,4
170,contrasting case,4
171,digital technology,4
172,inquiry-based learning,4
173,interview data,4
174,augmented reality,4
175,previous research,4
176,present preliminary,4
177,collaborative design,4
178,discussion forum,4
179,student teacher,4
180,different way,4
181,analyze two,4
182,’ epistemic,4
183,different type,4
184,graduate student,4
185,inform design,4
186,shared regulation,4
187,preliminary result,4
188,student develop,4
189,practice teacher,4
190,design support,4
191,epistemic agency,4
192,result indicated,4
193,study report,4
194,environment student,4
195,solving problem,4
196,equitable learning,4
197,use data,4
198,indicate student,4
199,development program,4
200,’ identity,4
201,randomly assigned,4
202,student reasoning,4
203,distance learning,4
204,remote learning,4
205,adaptive expertise,4
206,found teacher,4
207,examine two,4
208,science class,4
209,may particularly,4
210,development pd,4
211,self-regulated learning,4
212,learning design,4
213,’ contribution,4
214,learning across,4
215,collaborative research,4
216,initial finding,4
217,context teacher,4
218,school closure,4
219,theoretical framework,4
220,student make,4
221,finding illustrate,4
222,stem education,4
223,secondary science,4
224,prior research,4
225,research practice,4
226,summer camp,4
227,’ practice,4
228,education program,4
229,study contributes,4
230,suggest student,4
231,understanding teacher,4
232,learning however,4
233,finding study,4
234,’ development,4
235,student agency,4
236,support learner,4
237,representation learning,4
238,engaging student,4
239,math learning,4
240,computational modeling,4
241,pre-service teacher,4
242,shed light,4
243,examine teacher,4
244,present two,4
245,experience identity,3
246,epistemic network,3
247,model developed,3
248,finding contribute,3
249,research study,3
250,content analysis,3
251,activity student,3
252,conceptual understanding,3
253,small group,3
254,community knowledge,3
255,’ emotion,3
256,intervention study,3
257,study one,3
258,supporting young,3
259,student often,3
260,effective strategy,3
261,foster student,3
262,’ cognitive,3
263,mixed method,3
264,social network,3
265,systematic review,3
266,understanding support,3
267,’ collaboration,3
268,collaborative problem,3
269,approach examine,3
270,understand student,3
271,instructional design,3
272,computer programming,3
273,’ collaborative,3
274,student pair,3
275,study us,3
276,learner engaged,3
277,practice learning,3
278,word network,3
279,mathematical idea,3
280,student found,3
281,learning trajectory,3
282,type activity,3
283,study participant,3
284,collaborative discourse,3
285,decision making,3
286,current study,3
287,way knowing,3
288,worked example,3
289,learning student,3
290,computational model,3
291,community learning,3
292,study aim,3
293,analytics la,3
294,aim examine,3
295,’ awareness,3
296,found student,3
297,reality ar,3
298,solve problem,3
299,study used,3
300,next generation,3
301,future research,3
302,however little,3
303,learning behavior,3
304,little research,3
305,investigate student,3
306,preliminary analysis,3
307,science science,3
308,study aimed,3
309,higher level,3
310,poster report,3
311,significantly higher,3
312,design project,3
313,lived experience,3
314,school teacher,3
315,shared knowledge,3
316,allows student,3
317,visual representation,3
318,classroom discussion,3
319,analysis present,3
320,video analysis,3
321,learning knowledge,3
322,online professional,3
323,in-service teacher,3
324,practice science,3
325,professional learning,3
326,museum exhibit,3
327,middle-school science,3
328,knowledge forum,3
329,across different,3
330,cognitive load,3
331,learning research,3
332,impact learning,3
333,student engaging,3
334,paper contributes,3
335,data source,3
336,student need,3
337,knowledge advancement,3
338,explore role,3
339,study focus,3
340,environment designed,3
341,activity study,3
342,collaborative process,3
343,across three,3
344,learning together,3
345,online video,3
346,student might,3
347,role teacher,3
348,using case,3
349,need teacher,3
350,scientific argumentation,3
351,study approach,3
352,limited research,3
353,technology learning,3
354,mathematics science,3
355,remote instruction,3
356,play important,3
357,important role,3
358,process study,3
359,spring 2020.,3
360,remote diary,3
361,diary study,3
362,suggest teacher,3
363,data representation,3
364,study teacher,3
365,teacher noticing,3
366,understanding role,3
367,design future,3
368,finding inform,3
369,student science,3
370,study describe,3
371,learning scientist,3
372,present case,3
373,science take,3
374,local context,3
375,semi-structured interview,3
376,science lesson,3
377,learning purpose,3
378,present initial,3
379,also found,3
380,one ’,3
381,help u,3
382,reality vr,3
383,study using,3
384,model finding,3
385,supporting student,3
386,game design,3
387,pedagogical practice,3
388,design research,3
389,analyze data,3
390,practice support,3
391,teacher learn,3
392,present design,3
393,computing education,3
394,research-practice partnership,3
395,learning result,3
396,modeling activity,3
397,school high,3
398,artificial intelligence,3
399,understand role,3
400,whether student,3
401,learning teaching,3
402,identity work,3
403,research article,3
404,finding highlight,3
405,implication learning,3
406,aim support,3
407,student family,3
408,cultural resource,3
409,opportunity learn,3
