"","x"
"Abels__Kristina",0
"Abrahamson__Dor",0
"Abrami__Philip",0
"Adams__Anne",0
"Aditomo__Anindito",0
"Agrawal__Pulkit",0
"Ahmad__S_Zanariah",0
"Ahmad__Salman",0
"Ahmet__Zeynep",0
"Alagha__Iyad",0
"Alavi__Hamed",0
"Alcaniz__Mariano",0
"Aleo__Franc",0
"Allaire__Stephane",74.768720821662
"Allert__Heidrun",0
"Alterman__Richard",0
"Amelung__Chris",0
"Arastoopour__Golnaz",0
"Armitt__Gillian",0
"Arnold__Franziska",0
"Asensio.Perez__Juan",0
"Asher__Itay",0
"Avouris__Nikolaos",0
"Bamberger__Jeanne",0
"Banica__Dan",0
"Bao__Xianqing",0
"Baumgartner__Adrian",0
"Bauters__Merja",0
"Becher__Katharina",0
"Beckers__Anna",0
"Bereiter__Carl",509.570217183486
"Berland__Matthew",0
"Bertram__Johanna",0
"Betrancourt__Mireille",0
"Beuth__Jack",0
"Bielaczyc__Katerine",113.688328929752
"Bielaczyck__Katerine",0
"Blake__Canan",10
"Blancafort__Marta",0
"Blikstein__Paulo",0
"Blondel__Francois.Marie",0
"Bodemer__Daniel",508.5
"Bohm__Sonja",0
"Boluda__Pere",0
"Bonnard__Quentin",0
"Bopardikar__Anushree",0.5
"Boticki__Ivica",0
"Boutin__Pier.Ann",0
"Boyer__Mark",0
"Brennan__Karen",0
"Brett__Clare",0
"Breuleux__Alain",278
"Brown__Scott",0
"Brunger__Adrienne",67
"Buckley__Barbara",0
"Buder__Jurgen",390
"Buder__Jürgen",20
"Bull__Susan",0
"Burd__Elizabeth",0
"Bures__Eva",0
"Caeiro.Rodriguez__Manuel",0
"Cakir__Murat_Perit",0
"Calvo__Rafael",0
"Chai__Shaoming",138.5
"Chan__Anwar",0
"Chan__Carol",950.720953486493
"Chan__Carol_K._K.",0
"Chan__Keung_Kai",0
"Chan__Lok_Sze",0
"Chan__Tak.Wai",2436
"Chan__Yuen.Yan",0
"Chang__Hsin.Yi",0
"Chang__Hsiu.Mei",828
"Chang__Yu.Hui",0
"Chapman__Robbin",0
"Charles__Elizabeth",0
"Charles__Elizabeth_S.",0
"Chasteen__Michael",0
"Chaves__Gina",0
"Chaves__Wendy",0
"Chen__Bodong",113.688328929752
"Chen__Chih.Mao",0
