"","x"
"X__Chris",0
"Abrahamson__Dor",0
"Adams__Robin",0
"Agan__Lori",0
"Agnew__Grace",0
"Ai__Hua",0
"Ainsworth__Shaaron",3039.25
"Alagoz__Esra",0
"Aleven__Vincent",0
"Alonzo__Alicia_C.",0
"Alterman__Richard",0
"Anastopoulou__Stamatina",0
"Anderson__Janice",0
"Anderson__Kate",0
"Apedoe__Xornam_S.",0
"Aprea__Carmela",0
"Arici__Anna",0
"Asher__Itay",13
"Asterhan__Christa",112.5
"Atzmon__Shirley",0
"Austin__Kimberly",0
"Ayaz__Hasan",0
"Azevedo__Roger",0
"Badreddine__Zeynab",0
"Bagley__Elizabeth",0
"Baglin__Shawn",0
"Baines__AnnMarie",0
"Bakar__Aysegul",0
"Baker__Eva_L.",0
"Baker__Michael",0
"Baker__Ryan",0
"Bang__Megan",0
"Barab__Sasha",0
"Barron__Brigid",0
"Barth.Cohen__Lauren",0
"Barton__Angela_Calabrese",129
"Bass__Michelle",0
"Bates__Lauren",0
"Bauhoff__Vera",0
"Baumgartner__Adrian",0
"Becu.Robinault__Karine",0
"Belenky__Dan",0
"Bell__Philip",993
"Berland__Leema",6
"Berland__Matthew",0
"Bernstein__Debra",0
"Berson__Eric",0
"Besterfield.Sacre__Mary",0
"Betrancourt__Mireille",0
"Bielaczyc__Katerine",0
"Blair__Kristen_Pilner",0
"Blikstein__Paulo",3
"Bolger__Molly",0
"Boling__Erica",0
"Bollen__Lars",0
"Booker__Angela",0
"Bopardikar__Anushree",0
"Borge__Marcela",0
"Boticki__Ivica",0
"Boxerman__Jonathan",0
"Brady__Corey",0
"Bransford__John",64
"Brar__Rozy",0
"Brashear__Helene",0
"Braun__Isabel",0
"Bricker__Leah_A.",0
"Bromme__Rainer",0
"Brown__Matthew",0
"Brown__Megan",0
"Brown__Patrick",0
"Bruckman__Amy",0
"Bryan__Lynn",0
"Buckland__Luke",0
"Buechley__Leah",0
"Buksh__Arzoo",0
"Butera__Fabrizio",0
"Butler__Ruth",0
"Buty__Christian",0
