"","x"
"X_",8
"Abdu__Rotem",0
"Abed__Fayez",0
"Abrahamson__Dor",0
"Adach__Aleksandra",0
"Adair__Amy",0
"Adams.Wiggins__Karlyn_R.",1
"Adler__Idit",0
"Aftab__Ammarah",0
"Agesilaou__Andria",0
"Aguinaga__Jacob_M.",0
"Ahmed__Shaeema_Zaman",0
"Ahn__June",0
"Akcay__Hakan",0
"Aldemir__Tugce",0
"Aleven__Vincent",0
"Alibali__Martha_W.",0
"Allen__Anna.Ruth",0
"Allen__Laura_K.",0
"Allman__Bohdana",0
"Alozie__Nonye",0
"AlQahtani__Mona",0
"Altshuler__Mari",0
"Amarasinghe__Ishari",0
"Amato__Anna",0
"Amir__Ofra",0
"Amundrud__Anja",0
"An__Haokang",0
"Andersen__Renate",0
"Anderson__Eleanor_R.",0
"Anderson__Emma",0
"Andrus__Brian_M.",0
"Ansari__Ummie",0
"Anton__Gabriella",0.333333333333333
"Aprin__Farbod",0
"Araos__Andrés",0
"Ariely__Moriah",0
"Askew__Rachel",0.5
"Av.Shalom__Na.ama_Y.",0
"Avadhanam__Rukmini",0
"Avry__Sunny",0
"Azevedo__Flávio_S.",2
"Azevedo__Roger",0
"Bachelor__Ashley",0
"Bae__Haesol",0
"Baggaley__Stuart",0
"Bain__Connor",0
"Bakal__Michael",0
"Balasubramaniam__Ramesh",0
"Baldinger__Erin_E.",0
"Ballelos__Nikki_Anne_M.",0
"Balyan__Renu",0
"Banawan__Michelle",0
"Bang__Megan",2759.16666666667
"Banzon__Allison_M.",0
"Barany__Amanda",6
"Barclay__Rich",0
"Barnes__Tiffany..Wiebe__Eric..Fields__Deborah..Kafai__Yasmin..Tofel.Grehl__Colby..Giang__Michael..Sun__Jen..Strawhacker__Amanda..Hansen__Tyler..Slotta__Jim",0
"Barron__Brigid",0.714285714285714
"Bartel__Anna_N.",0
"Barth.Cohen__Lauren",0
"Barth.Cohen__Lauren_A.",0
"Barton__Angela_Calabrese",0
"Barzilai__Sarit",4
"Bastani__Reyhaneh",0
"Basu__Satabdi",0
"Bauer__Elisabeth",0
"Beckert__Betsy",0
"Belland__Brian_R.",0
"Ben.Dor__Naama",0
"Bene__Emma_P.",0
"Bennett__Katrina_A.",0
"Bergner__Yoav",0
