"Author","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021","tBetw"
"Danish__Joshua",0,0,0,0,0,0,0,0,0,16,0,0,5311.13333333333,0,0,0,0,0,0,0,0,4178.3392245912,56,10886.9313741694,55880.2830074309,12991.9642857143,89320.6512252391
"Biswas__Gautam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2875.2314719566,0,1712,61925.9736050895,28,66545.2050770461
"DeLiema__David",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54916.0929165766,0,54916.0929165766
"Hmelo.Silver__Cindy",10,0,0,0,0,16,0,0,1638,6,0,675,14213.5333333333,77,0,0,4,585,710.5,4304,1880,0,44,0,21942.3398640844,4136.51428571429,50241.887483132
"Marin__Ananda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7222.06526523694,0,0,41071.7694863302,1033.58333333333,49327.4180849005
"Sengupta__Pratim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6833333333333,0,0,7955.16234655306,0,0,40032.0541108516,428,48489.899790738
"Fischer__Frank",0,0,0,5.5,0,8,0,12,9295.40923875575,919.166666666666,150,614,6402,0,0,0,0,0,10760.7380952381,0,762,12933,24,0,137,22,42044.8140006605
"Enyedy__Noel",0,0,0,0,0,0,0,0,0,0,0,0,49.3,0,0,0,0,0,0,0,0,20303.7808863461,0,5295.62853040179,3014.00878526609,3721.08333333333,32383.8015353473
"Lyons__Leilah",0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,381,15,21963.4122823935,0,0,9115.63664766877,0,31725.0489300623
"Penuel__William",0,0,0,0,0,0,0,0,87.7333333333334,0,0,0,0,0,0,0,0,353,44,44,15,2977.00891676915,461.25,0,25022.5355328474,26,29030.5277829499
"Chinn__Clark",0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,975,0,12108,14529,1156,28987
"Wilensky__Uri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,301,202.454761904762,5,1,12140.9787879352,0,1483.49690402477,12517.6861005079,142.833333333333,26796.449887706
"Yoon__Susan",0,0,0,0,0,0,0,0,5.25,180,0,4,2725.83333333333,0,0,0,0,0,0,3,3,386.346877224083,36,4396.11816218972,18025.2960711258,8,25772.8444438729
"Hall__Rogers",0,0,0,0,0,0,0,0,0,0,0,21,1206,0,0,0,0,0,0,32,0,9162.69444222388,0,9407,5304.57726026469,0,25133.2717024886
"Anderson__Emma",0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,386.346877224083,0,4145.24832091988,20089.6689781996,0,24621.5975096769
"Reich__Justin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24379,0,24379
"Cafaro__Francesco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22415.7885259517,0,22415.7885259517
"D.Angelo__Cynthia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21400.4162889294,0,21400.4162889294
"Quintana__Chris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20850.7598727394,0,0,0,0,20850.7598727394
"Bang__Megan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5015.41633655109,0,8729.33191269652,4298.63395862011,2759.16666666667,20802.5488745344
"Weintrop__David",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,19318.0903540661,58.5,20236.5903540661
"Shapiro__R._Benjamin",0,0,0,0,0,0,0,0,8,31,0,0,0,0,0,0,0,0,0,0,0,796,8,14417.3398687772,3734.78020105192,848,19843.1200698291
"Kumar__Vishesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19092.0729653226,0,19092.0729653226
"Kafai__Yasmin",0,0,0,0,0,0,0,0,3,0,0,72,306.5,0,1,0,0,33,2129,0,0,1962.25414365906,108,11227.1603120057,1598.48986066881,989,18429.4043163336
"Nathan__Mitchell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15910.5,2155,0,18065.5
"Vossoughi__Shirin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238.59967532467,0,2113.40057494743,13792.8556662845,0,17144.8559165566
