"Author","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021","tDegr"
"Fischer__Frank",0,0,0,4,3,6,4,11,44,25,19,13,22,0,0,0,10,8,41,3,15,29,10,0,20,12,299
"Hmelo.Silver__Cindy",10,0,0,3,0,9,1,1,7,5,1,27,61,5,5,0,4,15,19,22,16,4,4,0,41,23,283
"Danish__Joshua",0,0,0,0,0,0,0,0,4,7,4,0,34,0,0,0,0,0,0,1,0,24,11,40,75,55,255
"Kafai__Yasmin",0,0,0,0,0,0,0,1,2,2,0,21,26,1,2,0,0,14,23,0,2,21,13,44,26,40,238
"Rummel__Nikol",0,0,0,4,4,3,22,5,11,9,20,22,0,0,0,0,10,2,23,11,7,30,19,22,4,6,234
"Enyedy__Noel",0,2,1,0,0,0,0,0,4,2,4,0,26,0,2,0,0,0,1,9,0,41,8,35,36,41,212
"Linn__Marcia",2,0,0,4,0,0,0,4,19,12,1,8,22,0,0,0,0,5,5,25,14,8,18,29,7,20,203
"Hall__Rogers",0,0,0,0,0,0,7,0,0,0,0,18,29,0,0,0,3,0,0,11,0,33,0,25,44,0,170
"Tissenbaum__Mike",0,0,0,0,0,0,0,1,23,1,0,0,2,0,0,0,0,0,0,0,25,17,25,22,31,20,167
"Yoon__Susan",0,0,0,2,0,0,0,2,6,12,9,4,23,0,0,0,3,1,0,3,6,12,4,21,50,7,165
"Clark__Douglas_B.",0,0,0,2,0,1,12,0,0,5,0,0,0,0,0,0,0,8,12,20,6,32,0,26,34,3,161
"Slotta__James",0,0,0,2,0,2,8,4,8,9,23,3,0,0,0,0,0,0,9,9,9,19,39,0,0,17,161
"Sengupta__Pratim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,28,2,16,70,23,158
"Wilensky__Uri",0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,3,0,14,15,6,2,23,5,30,38,13,156
"Rose__Carolyn",0,0,0,0,0,4,8,0,26,7,0,19,22,0,0,0,0,0,16,3,9,0,6,12,8,15,155
"Barron__Brigid",0,0,0,5,0,0,7,12,0,2,0,17,2,0,0,0,15,11,34,9,0,12,0,13,2,8,149
"Lindgren__Robb",0,0,0,4,0,0,3,2,0,5,0,0,24,0,0,0,0,2,0,0,14,25,6,20,20,23,148
"Penuel__William",0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,3,7,8,12,8,24,22,0,44,8,148
"Bang__Megan",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,19,12,33,37,25,146
"Bell__Philip",2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,8,4,18,10,4,23,19,20,18,0,144
"Klopfer__Eric",0,0,0,1,0,4,3,0,8,10,9,0,0,0,0,0,10,4,23,9,4,15,0,22,19,0,141
"van_Aalst__Jan",0,0,0,1,0,4,0,0,39,4,1,33,15,0,0,0,0,0,0,2,19,5,4,6,3,3,139
"Zhang__Jianwei",0,0,0,0,0,0,0,3,23,4,6,37,17,0,0,0,0,0,0,1,2,3,20,5,6,12,139
"Weinberger__Armin",0,0,0,2,0,4,13,0,4,5,5,3,20,0,0,0,10,8,32,0,0,10,9,12,0,0,137
"Matuk__Camillia",0,0,0,0,0,0,0,0,19,7,1,2,3,0,0,0,0,0,1,8,5,1,15,26,35,14,137
"Slotta__Jim",0,0,0,0,0,0,0,0,35,17,0,0,9,0,0,0,0,0,0,0,30,0,0,28,8,9,136
"Moher__Tom",0,0,0,2,0,0,0,0,19,3,23,3,1,0,0,3,0,1,22,5,14,18,19,2,0,0,135
"Scardamalia__Marlene",2,0,0,0,0,0,6,3,25,4,3,30,17,1,0,1,2,4,5,0,4,0,9,3,14,0,133
"Chan__Carol",0,0,0,0,0,3,1,0,23,4,1,33,21,0,0,0,0,0,1,0,9,0,0,18,14,3,131
"Kali__Yael",0,0,0,4,0,1,4,0,4,0,17,0,25,0,0,0,0,0,1,1,0,0,19,33,17,3,129
"Lyons__Leilah",0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,3,0,12,8,30,0,0,49,3,124
"DeLiema__David",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,8,3,79,21,124
"Biswas__Gautam",0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,4,15,1,8,79,9,124
"Schwarz__Baruch",0,5,0,0,0,1,11,4,7,11,0,0,0,0,0,0,0,0,21,23,3,11,11,11,2,0,121
"Blikstein__Paulo",0,0,0,0,0,0,3,0,1,1,2,2,1,0,0,0,2,7,7,4,16,5,0,27,31,12,121
"Law__Nancy",0,0,0,0,1,1,4,0,57,5,0,2,3,0,0,0,0,0,12,11,6,2,5,3,5,2,119
"Brady__Corey",0,0,0,0,0,0,0,0,0,0,0,5,21,0,0,0,0,0,0,1,0,26,0,3,33,29,118
"Shapiro__R._Benjamin",0,0,0,0,3,0,0,0,9,13,0,0,0,0,0,0,4,0,2,1,0,13,6,27,21,16,115
