"","x"
"Abels__Kristina",6
"Abrahamson__Dor",2
"Abrami__Philip",3
"Adams__Anne",6
"Aditomo__Anindito",2
"Agrawal__Pulkit",4
"Ahmad__S_Zanariah",7
"Ahmad__Salman",4
"Ahmet__Zeynep",5
"Alagha__Iyad",19
"Alavi__Hamed",7
"Alcaniz__Mariano",4
"Aleo__Franc",5
"Allaire__Stephane",9
"Allert__Heidrun",1
"Alterman__Richard",1
"Amelung__Chris",2
"Arastoopour__Golnaz",3
"Armitt__Gillian",3
"Arnold__Franziska",3
"Asensio.Perez__Juan",9
"Asher__Itay",14
"Avouris__Nikolaos",2
"Bamberger__Jeanne",2
"Banica__Dan",2
"Bao__Xianqing",16
"Baumgartner__Adrian",1
"Bauters__Merja",9
"Becher__Katharina",6
"Beckers__Anna",6
"Bereiter__Carl",22
"Berland__Matthew",2
"Bertram__Johanna",2
"Betrancourt__Mireille",2
"Beuth__Jack",2
"Bielaczyc__Katerine",19
"Bielaczyck__Katerine",6
"Blake__Canan",10
"Blancafort__Marta",8
"Blikstein__Paulo",1
"Blondel__Francois.Marie",2
"Bodemer__Daniel",7
"Bohm__Sonja",5
"Boluda__Pere",8
"Bonnard__Quentin",7
"Bopardikar__Anushree",3
"Boticki__Ivica",3
"Boutin__Pier.Ann",8
"Boyer__Mark",2
"Brennan__Karen",0
"Brett__Clare",1
"Breuleux__Alain",2
"Brown__Scott",2
"Brunger__Adrienne",20
"Buckley__Barbara",1
"Buder__Jurgen",4
"Buder__Jürgen",2
"Bull__Susan",1
"Burd__Elizabeth",19
"Bures__Eva",3
"Caeiro.Rodriguez__Manuel",1
"Cakir__Murat_Perit",3
"Calvo__Rafael",2
"Chai__Shaoming",17
"Chan__Anwar",9
"Chan__Carol",23
"Chan__Carol_K._K.",4
"Chan__Keung_Kai",5
"Chan__Lok_Sze",3
"Chan__Tak.Wai",10
"Chan__Yuen.Yan",4
"Chang__Hsin.Yi",18
"Chang__Hsiu.Mei",7
"Chang__Yu.Hui",3
"Chapman__Robbin",1
"Charles__Elizabeth",3
"Charles__Elizabeth_S.",5
"Chasteen__Michael",4
"Chaves__Gina",3
"Chaves__Wendy",3
"Chen__Bodong",19
"Chen__Chih.Mao",4
"Chen__Ching.Huei",1
"Chen__Fei.Ching",3
"Chen__Frank",4
"Chen__Gaowei",2
"Chen__Jennifer_King",18
"Chen__Mark",0
"Chen__Wenli",34
"Chen__Xidiao",16
"Chen__Yen.Hua",4
"Chen__Zhi.Hong",6
"Cheng__Gang",16
"Cheng__Kai.Tien",3
"Cheng__Kenneth",5
"Cheong__Siew_Kheng",7
"Chesler__Naomi",3
"Chin__Chee.Kuen",3
"Ching__Dixie",4
"Chiu__Chieh.Hsin",3
"Chiu__Jennifer",18
"Chiu__Ming_Ming",19
"Cho__Kwangsu",3
"Choi__Yin_Wai_Yvonne",3
"Chounta__Irene.Angelica",2
"Chow__Chi_Kin",4
"Choy__Chong_Wah_Cedric",7
"Chu__Ka_Tim",4
"Chu__Samuel_Kai_Wah",0
"Chuy__Maria",14
"Clegg__Tamara",2
"Collier__Nicole",5
"Collins__Trevor",10
"Condamines__Thierry",0
"Constantinou__Constantinos",14
"Constantinou__Costas_P.",2
"Contero__Manuel",4
"Coughlan__Tim",6
"Coulter__Bob",8
"Craft__Brock",2
"Cress__Ulrike",14
"Crider__Jeremy",20
"Cuendet__Sebastien",7
"D.Angelo__Cynthia",3
"Daily__Shaundra",1
"Damsa__Crina",12
"Danish__Joshua",4
"Dascalu__Mihai",3
"Davies__Sarah",6
"Davis__Sarah",2
"Dayan__Jacob",1
"De.Groot__Reuma",7
"de_Jong__Frank",3
"de_Laat__Hanneke",3
"De_Wever__Bram",7
"DeBarger__Angela_Haydel",5
"Dede__Chris",4
"Deguchi__Akiko",5
"Deiglmayr__Anne",5
"Delacruz__Girlie",4
"Deng__Liping",3
"Devlin__Alison",3
"Dickinson__Anthony_R.",1
"Dillenbourg__Pierre",9
"Dimitracopoulou__Angelique",2
"Dimitriadis__Yannis",20
"Do.Lenh__Son",7
"Dohrmann__Patrick",4
"Dong__Zhijiang",4
"Downton__Michael",2
"Dubrowski__Adam",9
"Dugdale__Michael",5
"Dunleavy__Matt",8
"Dyke__Gregory",17
"Eberbach__Catherine",6
"Effendi__David",2
"El.Refai__Walid",2
"Elinich__Karen",5
"Ellis__Cali",1
"Enriquez__Rutchelle",18
"Enyedy__Noel",4
"Erkens__Gijsbert",4
"Eseryel__Deniz",2
"Evans__Michael",23
"Feenberg__Andrew",3
"Fernandez__Eloy",9
"Ferreira__Deller",1
"Fesakis__Georgios",2
"Fields__Deborah",1
"Fischer__Frank",44
"Fraser__Danae_Stanton",6
"Fu__Ella",1
"Fueyo__Vivian",5
"Fukuda__Hiroyuki",3
"Funaoi__Hideo",3
"Fung__Yuen_Han",11
"Fyfe__Vilma",2
"Gardner__Christina",2
"Ge__Xun",2
"Gehlen.Baum__Vera",3
"Gentile__Sylvia",4
"Georgiou__Agni",2
"Gnesdilow__Dana",2
"Gnoli__Alessandro",19
"Goel__Ashok",6
"Goeze__Annika",3
"Goggins__Sean_P.",2
"Goodyear__Peter",3
"Gorsky__Paul",0
"Greene__Daniel",1
"Grotzer__Tina",4
"Gu__Xiaoqing",16
"Guichon__Nicolas",2
"Guo__Shaoqing",16
"Guribye__Frode",2
"Gutierrez__Jose",2
"Gweon__Gahgene",4
"Ha__Henry",4
"Hakkarainen__Kai",18
"Håklev__Stian",10
"Halatchliyski__Iassen",2
"Hamalainen__Raija",5
"Hamel__Christine",2
"Hamilton__Eric",3
"Hansson__Lena",14
"Harding__Nancy",3
"Harrer__Andreas",16
"Hasenbein__Melanie",2
"Hatch__Andrew",3
"Haussmann__Annette",6
"Heo__Gyeong_Mi",1
"Hernandez.Leo__Davinia",9
"Hernandez__Juan_Carlos",3
"Herodotou__Christothea",14
"Herrmann__Thomas",4
"Hesse__Friedrich_W.",5
"Hewitt__Jim",1
"Higgins__Steve",21
"Hirashima__Tsukasa",3
"Hmelo.Silver__Cindy",7
"Ho__K._C.",4
"Hoadley__Christopher",4
"Hong__Huang.Yao",19
"Hong__Ming",3
"Honwad__Sameer",6
"Hoppe__Ulrich",3
"Howley__Iris",2
"Hsiao__Ying.Ting",3
"Hsieh__Fang.Pei",18
"Hu__Chun",11
"Hui__Diane",5
"Hundertmark__Sarah",1
"Hunter__Judith",9
"Hussmann__Heinrich",5
"Idris__Sufian",2
"Ilomaki__Liisa",9
"Im__Jungtaek",3
"Inagaki__Shigenori",5
"Ioannou__Andri",2
"Jacobson__Michael",9
"Jaeger__Allison",19
"Janssen__Jeroen",5
"Jeong__Heisawn",18
"Jermann__Patrick",9
"Jing__Leng",8
"Johansson__Carolina",5
"Jonassen__David",5
"Jones__Ann",5
"Jonsson__Martin",5
"Jordan__Rebecca",6
"Joyce.Gibbons__Andrew",3
"Jurgens__Alke",4
"Kaendler__Celia",5
"Kafai__Yasmin",2
"Kahrimanis__Georgios",2
"Kali__Yael",4
"Kam__Matt",4
"Kamarainen__Amy",4
"Kamvar__Sep",4
"Kangas__Kaiju",1
"Kaplan__Frederic",7
"Kapur__Manu",13
"Karlgren__Klas",9
"Kartiko__Iwan",9
"Kawasaki__Miho",1
"Kay__Judy",2
"Kennedy.Clark__Shannon",4
"Kerawalla__Lucinda",5
"Kim__Beaumie",2
"Kim__Jihie",2
"Kim__Mi_Song",2
"Kimmerle__Joachim",7
"Kirschner__Paul",3
"Kirschner__Paul_A",2
"Kita__Chigusa",4
"Klopfer__Eric",8
"Knickle__Kerry",9
"Knight__Katherine",2
"Knipfer__Kristin",3
"Koedinger__Ken_R.",2
"Koh__Quee_Boon",18
"Kohen.Vacs__Dan",13
"Kohnle__Carmen",2
"Kollar__Ingo",27
"Kollias__Vassilis",14
"Kolodner__Janet",10
"Koper__Rob",4
"Kopp__Birgitta",4
"Krauskopf__Karsten",3
"Krumm__Andrew",3
"Ku__Yiu_Yee",5
"Kubota__Yoshihiko",3
"Kumar__Melissa",4
"Kumar__Rohit",2
"Kurti__Arianit",4
"Kusunoki__Fusako",5
"Kwok__Ching_Yin",3
"Kwok__S._M.",4
"Kynigos__Chronis",7
"Kyza__Eleni",14
"Kyza__Eleni_A.",2
"Laferriere__Therese",29
"Laffey__James",4
"Lai__Ming",1
"Lakkala__Minna",9
"Lally__Vic",3
"Lam__Bonnie",4
"Langer__Sybille",3
"Lapeyre__Jaime",9
"Larusson__Johann",1
"Lasry__Nathaniel",3
"Lau__Alison",5
"Lau__Siu_Fan",3
"Laurillard__Diana",4
"Law__Nancy",57
"LAW__Nancy",1
"Law__Victor",2
"Lawless__Kimberly",2
"Lax__Leila",9
"Lea__John",6
"Lee__Chwee_Beng",5
"Lee__Hsueh_Chien_Dawn",7
"Lee__Namseok",3
"Lee__Shuh_Shing",1
"Lee__Sunghye",18
"Lee__Yeung",7
"Lee__Yew.Jin",7
"Lei__Jing",18
"Leng__Jing",0
"LEUNG__Lawrence",1
"Lewis__Armanda",0
"Li__Cen",4
"Li__Kangli",16
"Li__Kedong",16
"Li__Yanyan",16
"Liao__Calvin_C._Y.",3
"Lin__Chiu.Pin",4
"Linn__Marcia",19
"Lit__Shirley",4
"Liu__Lei",1
"Ljubojevic__Dejan",2
"Loll__Frank",3
"Lomas__Derek",4
"Lonn__Steven",3
"Looi__Chee.Kit",23
"Looi__Chee_Kit",22
"Lopez__Oscar_Hernandez",8
"Loser__Kai.Uwe",1
"Lu__Jingyan",3
"Luckin__Rosemary",7
"Ludvigsen__Sten",2
"Lui__Michelle",32
"Lund__Kristine",17
"Luo__Heng",18
"MacLennan__Cameron",9
"Madeira__Cheryl_Ann",1
"Makitalo.Siegl__Kati",2
"Maldonado__Luis_Facundo",3
"Mandl__Heinz",4
"Mann__Susanna",1
"Marbouti__Farshid",3
"Maria__Chuy",10
"Markauskaite__Lina",6
"Martin__Taylor",2
"Martinez__Roberto",2
"Mathews__Jim",8
"Matschke__Christina",3
"Matteucci__Maria_Cristina",3
"Matuk__Camillia",19
"Mavrikis__Manolis",7
"Mayfield__Elijah",6
"McGillion__Michael",9
"McLaren__Bruce",10
"Medina__Richard",17
"Mercier__Emma",21
"Messina__Richard",15
"Metcalf__Shari",4
"Michael__Georgia",2
"Milrad__Marcelo",4
"Miyake__Naomi",6
"Mochizuki__Toshio",3
"Moher__Tom",19
"Molinari__Gaelle",4
"Montané__Mireia",8
"Moraveji__Neema",5
"Morley__Elizabeth",15
"Moskaliuk__Johannes",4
"Motto__Andrea",20
"Mous__Karel",18
"Mu__Jin",5
"Mu__Su",2
"Mullins__Dejana",8
"Muukkonen__Hanni",10
"Najafi__Hedieh",2
"Namdar__Bahadia",18
"Nasser__Samira",14
"Nelson__Suzanne",2
"Newstead__Anne",9
"Nicolaido__Iolie",14
"Notari__Michele_P.",1
"Nüssli__Marc.Antoine",3
"Oehl__Michael",1
"Oksanen__Kimmo",1
"Oldershaw__Cally",14
"Ortega__Mario",4
"Oshima__Jun",29
"Paavola__Sami",9
"Palaiodimos__Aggelos",2
"Papanastasiou__Elena",2
"Park__Jonghwi",3
"Parussel__Karla",3
"Patel__Kishan",4
"Patton__Charles",2
"Patton__Charlie",9
"Pea__Roy",4
"Penuel__William",11
"Peppler__Kylie",3
"Perez.Lopez__David",4
"Perez.Rodriguez__Roberto",1
"Perreault__Christian",13
"Perrotta__Carlo",4
"Perry__Judy",8
"Peters__Vanessa",1
"Peterson__Patricia",1
"Petrick__Carmen",2
"Pfister__Hans.Ruediger",1
"Phielix__Chris",3
"Pilz__Florian",19
"Pinkwart__Niels",7
"Plesch__Christine",5
"Poon__Tung_Keung",5
"Porte__John",9
"Prié__Yannick",2
"Prieto__Luis",9
"Prieto__Luis_P.",5
"Prilla__Michael",3
"Prins__Frans",3
"Puntambekar__Sadhana",11
"Quellmalz__Edys_S.",1
"Raes__Annelies",3
"Raj__Bhiksha",4
"Rausch__Andreas",4
"Reale__Nathan",4
"Rebedea__Traian",4
"Redfors__Andreas",14
"Reedy__Gabriel_B.",0
"Reffay__Christophe",2
"Reilly__Mark",1
"Reimann__Peter",8
"Resendes__Monica",19
"Richards__Debbie",11
"Richter__Christoph",10
"Ritella__Giuseppe",2
"Ritella__Guiseppe",6
"Robb__Anja",9
"Rogers__Yvonne",6
"Ronen__Michaela",9
"Ronen__Miky",4
"Rosberg__Maria",14
"Roschelle__Jeremy",11
"Rose__Carolyn",26
"Rose__Carolyn_P.",2
"Rosenheck__Louisa",8
"Roy__George",5
"Rudat__Anja",2
"Rugaber__Spencer",6
"Rummel__Nikol",11
"Rusman__Ellen",4
"Saarivesi__Eini",9
"Saballus__Ulf",14
"Saito__Moegi",1
"Salvador.Herranz__Gustavo",4
"Sami__Rahul",1
"Sander__Birgit",2
"Sarmiento.Klapper__Johann",3
"Sasaki__Hiroshi",3
"Sato__Elissa",2
"Sawyer__Keith",16
"Scanlon__Eileen",5
"Scardamalia__Marlene",25
"Schank__Patricia",11
"Schanze__Sascha",15
"Schellens__Tammy",3
"Scheuer__Oliver",3
"Schmidt__Matthew",2
"Schrader__Josef",3
"Schubert__Kai",2
"Schwarz__Baruch",7
"Schwendimann__Beat",18
"Schwind__Christina",3
"Sclater__Madeleine",3
"Seitamaa.Hakkarainen__Pirita",19
"Shaffer__David_Williamson",3
"Shao__Yin.Juan",4
"Shapiro__R._Benjamin",9
"Shaw__Erin",2
"Sheldon__Josh",8
"Shen__Haifeng",1
"Shen__Ji",18
"Shin__Ho.Chul",3
"Shirouzu__Hajime",17
"Showalter__Stephen",1
"Silva__Brenda_Lopez",19
"Sim__Chor_Miang",7
"Sinha__Suparna",6
"Sloep__Peter",4
"Slof__Bert",2
"Slotta__James",8
"Slotta__Jim",35
