"","x"
"X_",2
"Abrahamson__Dor",7
"Acosta__Alisa",19
"Ahn__June",7
"Ahonen__Arto_K.",4
"Ainsworth__Shaaron",12
"Alameh__Sahar",3
"Aleven__Vincent",2
"Allen__Carrie_D.",1
"Allen__Laura",4
"Alqassab__Maryam",2
"Anderson__Craig_G.",9
"Anderson__Emma",3
"Anderson__Janice",5
"Andrade__Alejandro",1
"Anjewierden__Anjo",3
"Applebaum__Lauren",3
"Arastoopour__Golnaz",5
"Arvaja__Maarit",1
"Arvidsson__Toi_Sin",1
"Ashley__Robert_W.",4
"Askari__Emilia",9
"Asterhan__Christa",9
"Awwal__Nafisa",4
"Azevedo__Flavio_S.",7
"Azevedo__Flávio_S.",1
"Bakker__Arthur",3
"Bal__Aydin",9
"Bang__Megan",12
"Barber.Lester__Kelly",3
"Barber.Lester__Kelly_J.",3
"Barcellos__Marcília_E.",2
"Barth.Cohen__Lauren_A.",1
"Barton__Angela_Calabrese",2
"Baruch__Alona_Forkosh",9
"Basu__Satabdi",1
"Becker__Sandra",3
"Beheshti__Elham",5
"Bell__Adam",12
"Bell__Philip",19
"Ben.Zvi__Dani",19
"Bereiter__Carl",0
"Berland__Matthew",23
"Bernstein__Debra",3
"Bertram__Charles",4
"Betz__Anica",3
"Bielaczyc__Katerine",26
"Binzak__John_V.",9
"Biswas__Gautam",1
"Blum.Smith__Sarah",2
"Bodemer__Daniel",4
"Borge__Marcela",3
"Boroujeni__Mina_Shirvani",14
"Boston__Carol",4
"Bouton__Edith",9
"Brandes__Ofra",4
"Brasel__Jason",2
"Brennan__Karen",2
"Brown__David_E.",4
"Buis__Stan_C._A.",2
"C.Linn__Marcia",3
"Cai__Huiying",1
"Cai__Qijie",2
"Cain__Ryan",7
"Cannady__Matthew_A.",7
"Care__Esther",4
"Catrambone__Richard",3
"Cavera__Veronica_L.",2
"Chagab__Noha",4
"Chai__Boon_Yen",4
"Champion__Dionne",7
"Champion__Dionne_N.",7
"Chan__Carol_K._K.",2
"Chan__Jody_R.",1
"Chandrasekharan__Sanjay",2
"Chang__Stephanie",11
"Charles__Elizabeth_S.",19
"Chase__Catherine_C.",4
"Chee__Joon_Kit_Kelvin",2
"Chen__Bodong",9
"Chen__Jingping",1
"Chen__Mei.Hwa",19
"Chen__Shu",5
"Chikunda__Charles",9
"Ching__Cynthia_Carter",1
"Chiu__Thomas_K.F.",0
"Choi__Gi_Woong",2
"Choi__Koun",19
"Christmann__Nina",9
"Chu__Shien",2
"Clarke__Sherice",14
"Clegg__Tamara",4
"Clegg__Tamara_L.",5
"Cocco__Felipe",14
"Collier__Wesley",6
"Collins__Jamie_M.",1
"Cournoyer__Nathan",3
"Crouse__Kevin",2
"Csanadi__Andras",7
"Cuendet__Sebastien",5
"Cunningham__Jahneille",4
"Curnow__Joe",1
"Cutshall__Jessica",4
"D.Angelo__Sarah",3
"da_Silva__Glauco_S._F.",2
"Dahn__Maggie",8
"Dalsen__Jennifer",9
"Danish__Joshua",11
"Dascălu__Mihai",2
"Davis__Katie",12
"Daxenberger__Johannes",7
"de_Jong__Ton",3
"de_Souza__Elisabeth_G.",2
"Deiglmayr__Anne",2
"Deitrick__Elise",2
"DeLiema__David",8
"Derry__Sharon",5
"DesPortes__Kayla",2
"DeSutter__Dane",10
"Dickes__Amanda_Catherine",2
"Dieckmeyer__Emily",3
"DiGiacomo__Daniela",3
"Dillenbourg__Pierre",27
"DiSalvo__Betsy",2
"Dornfeld__Catherine",5
"Dornfeld__Catherine_L.",1
"Dorph__Rena",7
"Dragomir__Mihaela",1
"Drayton__Brian",3
"Duckles__Joyce_M.",3
"Dugdale__Michael",19
"Dyer__Elizabeth_B.",7
"Dziallas__Sebastian",4
"Echevarria__Ruben",7
"Eisenhart__Margaret",1
"Elson__Malte",9
"Engeström__Yrjö",9
"Enyedy__Noel",8
"Erdmann__Julia",9
"Erkens__Melanie",2
"Evans__Chad",3
"Farris__Amy",2
"Fathema__Nafsaniath",5
"Feng__Mingyu",2
"Fields__Deborah",11
"Fincher__Sally",4
"Fischer__Frank",10
"Flake__Sabrina",3
"Flekova__Lucie",7
"Flood__Virginia_J.",2
"Forbes__Cory",2
"Franklin__Scott_V.",4
"Froehlich__Jon_E.",5
"Fynes.Clinton__Elizabeth",11
"Garner__Brette",2
"Gaydos__Matthew",8
"Gerard__Libby",15
"Gergle__Darren",3
"Gerritsen__David",3
"Ghanem__Christian",7
"Gijlers__Hannie",3
"Gnesdilow__Dana",5
"Gobert__Janice",2
"Goh__Wendy",1
"Goldberg__Tsafrir",11
"Gomez__Kimberley",4
"Gomez__Louis",4
"Gomoll__Andrea_S.",3
"Gonzalez__Carmen",2
"Gouvea__Julia_Svoboda",2
"Grainger__Rebecca",3
"Gravel__Brian",2
"Graville.Smith__Cynthia",3
"Grawemeyer__Beate",2
"Greenhow__Chrisine",9
"Grimes__Sara_M.",11
"Grover__Shuchi",1
"Gu__Xiaoqing",1
"Gurevych__Iryna",7
"Gutiérrez__José_Francisco",0
"Guzdial__Mark",3
"Habron__Geoffrey",2
"Hajny__Nik",14
"Häkkinen__Päivi",4
"Håklev__Stian",7
"Halls__Jonathan",2
"Halverson__Erica_R.",11
"Hansen__Alice",7
"Hardy__Lisa",1
"Harrer__Benedikt_W.",2
"Hartmann__Christian",2
"Hecking__Tobias",9
"Heijnes__Dewi",10
"Heimbuch__Sven",1
"Hensley__Lauren",4
"Herrmann__Thomas",9
"Hershkovitz__Arnon",9
"Hew__Khe_Foon",4
"Hickey__Daniel",7
"Hickey__Daniel_T.",2
"Hillman__Thomas",11
"Hilppö__Jaakko",13
"Hinojosa__Leighanna",3
"Hjorth__Arthur",1
"Hmelo.Silver__Cindy",4
"Hoadley__Christopher",5
"Hod__Yotam",21
"Holmes__Wayne",6
"Hong__Helen",2
"Hong__Huang.Yao",4
"Hoppe__Ulrich",9
"Hori__Naoto",6
"Horn__Ilana_Seidel",2
"Horn__Michael",5
"Horton__Emily",4
"Huang__Jun_Song",8
"Humburg__Megan",8
"Hung__David",1
"Iikubo__Shinya",6
"Illum__Randy",8
"Iordanou__Kalypso",1
"Jacobson__Michael",8
"Jiang__Shiyan",2
"Jin__Yinglian",5
"Johnson__Raymond",12
"Jona__Kemi",12
"Jordan.Douglass__Anna",9
"Jordan__Michelle_E.",1
"Jornet__Alfredo",0
"Joyce__Jeanette",2
"Judson__Darlene",0
"Jung__Yong_Ju",2
"Kabayadondo__Zaza",0
"Kafai__Yasmin",13
"Kali__Yael",19
"Kang__Seokbin",5
"Kang__Seokmin",5
"Kapon__Shulamit",2
"Kapur__Manu",26
"Katz__Vikki",2
"Kaul__Chittaranjan",2
"Kawasaki__Jarod",3
"Ke__Li",1
"Keifert__Danielle_T.",7
"Keune__Anna",11
"Khamis__Nur_Azarina",4
"Kimball__Nathan",4
"Kittinger__Liza",1
"Knight__Simon",4
"Koehler.Yom__Jessica",3
"Koh__Elizabeth",2
"Kolikant__Yifat_Ben.David",4
"Kollar__Ingo",11
"Kolodner__Janet",5
"Kothiyal__Aditi",2
"Krämer__Nicole_C.",9
"Krist__Christina",8
"Kuhn__Deanna",1
"Kumar__Vishesh",9
"Kustusch__Mary_Bridget",4
"Kwok__Amy",4
"Kyewski__Elias",9
"Lahav__Orly",4
"Laherto__Antti",2
"Lai__Polly_K.",3
"Laina__Vasiliki",1
"Lakhani__Heena",12
"Lam__Rachel",9
"Land__Susan_M.",5
"Lanouette__Kathryn_A.",2
"Law__Nancy",5
"Law__Victor",4
"Leak__Anne",4
"Lee__Alison",4
"Lee__Christine",8
"Lee__Victor",7
"Lee__Vwen_Yen_Alwyn",2
"Lee__Yeung",5
"Lee__Yew_Jin",9
"Leenaars__Frank",10
"Lefstein__Adam",2
