"","x"
"X_",4
"Abdu__Rotem",3
"Abed__Fayez",4
"Abrahamson__Dor",3
"Adach__Aleksandra",2
"Adair__Amy",8
"Adams.Wiggins__Karlyn_R.",2
"Adler__Idit",3
"Aftab__Ammarah",5
"Agesilaou__Andria",1
"Aguinaga__Jacob_M.",3
"Ahmed__Shaeema_Zaman",6
"Ahn__June",4
"Akcay__Hakan",16
"Aldemir__Tugce",2
"Aleven__Vincent",7
"Alibali__Martha_W.",7
"Allen__Anna.Ruth",4
"Allen__Laura_K.",8
"Allman__Bohdana",1
"Alozie__Nonye",3
"AlQahtani__Mona",18
"Altshuler__Mari",2
"Amarasinghe__Ishari",2
"Amato__Anna",6
"Amir__Ofra",2
"Amundrud__Anja",10
"An__Haokang",7
"Andersen__Renate",4
"Anderson__Eleanor_R.",1
"Anderson__Emma",1
"Andrus__Brian_M.",6
"Ansari__Ummie",5
"Anton__Gabriella",4
"Aprin__Farbod",4
"Araos__Andrés",2
"Ariely__Moriah",2
"Askew__Rachel",6
"Av.Shalom__Na.ama_Y.",2
"Avadhanam__Rukmini",1
"Avry__Sunny",1
"Azevedo__Flávio_S.",2
"Azevedo__Roger",3
"Bachelor__Ashley",2
"Bae__Haesol",7
"Baggaley__Stuart",6
"Bain__Connor",3
"Bakal__Michael",5
"Balasubramaniam__Ramesh",3
"Baldinger__Erin_E.",1
"Ballelos__Nikki_Anne_M.",3
"Balyan__Renu",4
"Banawan__Michelle",4
"Bang__Megan",25
"Banzon__Allison_M.",3
"Barany__Amanda",5
"Barclay__Rich",2
"Barnes__Tiffany..Wiebe__Eric..Fields__Deborah..Kafai__Yasmin..Tofel.Grehl__Colby..Giang__Michael..Sun__Jen..Strawhacker__Amanda..Hansen__Tyler..Slotta__Jim",29
"Barron__Brigid",8
"Bartel__Anna_N.",7
"Barth.Cohen__Lauren",4
"Barth.Cohen__Lauren_A.",1
"Barton__Angela_Calabrese",29
"Barzilai__Sarit",5
"Bastani__Reyhaneh",1
"Basu__Satabdi",6
"Bauer__Elisabeth",4
"Beckert__Betsy",4
"Belland__Brian_R.",1
"Ben.Dor__Naama",1
"Bene__Emma_P.",3
"Bennett__Katrina_A.",3
"Bergner__Yoav",12
"Bermudez__Vanessa_N.",4
"Bernier__Jeremy",4
"Betts__Cameron",8
"Bex__Richard_T.",6
"Bhowmik__Saptarshi",5
"Bichler__Sarah",5
"Bielaczyc__Katerine",0
"Bigman__Maxwell",4
"Billings__Kelly",2
"Biswas__Gautam",9
"Blikstein__Paulo",12
"Bofferding__Laura",1
"Bogart__Christopher",7
"Boldyreva__Elena",10
"Bomar__Anjelique",6
"Boomgaarden__Antje",2
"Borge__Marcela",19
"Botch__Madison",2
"Boucher__Nicole",4
"Bowhay__Ciana",4
"Boyer__Kristy_Elizabeth",12
"Braasch__Jason_L._G.",3
"Bradford__Allison",2
"Brady__Corey",29
"Brand__Charleen",3
"Brennan__Karen",3
"Brenner__Eric",29
"Britt__Anne",5
"Britt__M._Anne",7
"Bryant__Tonya",1
"Bumbacher__Engin",9
"Burgas__Kim",9
"Burron__Garrick",11
"Bustamante__Andres_S.",4
"Byman__Jenny_Renlund_and_Jenny",2
"Byrne__Virginia",4
"Caballero__Daniela",4
"Cabrera__Lautaro",4
"Cady__Alice",2
"Campos__Fabio_C.",1
"Cao__Lydia_Y.",0
"Carlson__Spencer",18
"Carvalho__Renato",8
"Castro.Faix__Moraima",1
"Catete__Veronica",29
"Cavera__Veronica_L.",1
"Cederquist__Steven",1
"Cekaite__Asta",9
"Celepkolu__Mehmet",6
"Chakraborty__Shayok",3
"Chaloner__Kim",9
"Champion__Dionne",12
"Chan__Carol",3
"Chan__Carol_K._K.",1
"Chan__Jenny_Yun.Chen",4
"Chang__Jaemyong",1
"Chang__Yu.Hui",10
"Chao__Jie",7
"Chartrand__Grant_T.",2
"Chavez__Rosa",20
"Chen__Bodong",11
"Chen__Gaowei",3
"Chen__Helen",18
"Chen__Jie",4
"Chen__Mei.Hwa",11
"Chen__Rachel",9
"Chen__Si",4
"Cheng__Yihong",1
"Cheong__Christy_Weng.Lam",2
"Chernikova__Olga",6
"Cheung__Marcus_Y.Y.",3
"Chew__Phebe",4
"Chi__Michelene_T._H.",4
"Chinn__Cark",8
"Chinn__Clark",13
"Chiu__Jennifer_L.",9
"Chiu__Yu.Chen",6
"Chng__Edwin",4
"Cho__J.Yohan",4
"Cho__Kyungjin",2
"Choi__Daniel",2
"Chong__Cierra",29
"Chong__Kit.Ying_Angela",3
"Chowdhury__Mahjabin",4
"Clark__Douglas_B.",3
"Clark__Heather_F.",0
"Clarke.Midura__Jody",5
"Clarke__Sherice",2
"Clarke__Sherice_N.",2
"Closser__Avery_H.",4
"Coelho__Raquel",1
"Coenraad__Merijke",4
"Cohen__Rinat_Levy",3
"Colleni__Mckay",6
"Conner__Laura_D._Carsten",2
"Copel__Liat",3
"Cortés__Luis_E._Pérez",7
"Cortez__Arturo",9
"Cosic__Lana",5
"Cottone__Amanda",3
"Cottone__Amanda_M.",3
"Coven__Madeline",7
"Craig__Kalani",5
"Cross.Francis__Dionne",4
"Cukier__Michel",7
"Cunje__Alister",5
"Curnow__Joe",0
"Curwood__Jen_Scott",4
"Dabholkar__Sugat",5
"Dahn__Maggie",6
"Dai__Chih.Pu",6
"Dai__Zhaihuan",5
"Damsa__Crina",2
"Damşa__Crina",2
"Daniel__Bethany",6
"Danish__Joshua",55
"Dasgupta__Chandan",2
"Datta__Debajyoti",1
"Davidesco__Ido",11
"Davidsen__Jacob",1
"Davis__Elizabeth_A.",29
"Davis__Gwen",7
"Davis__Pryce",0
"Davis__Susannah_C.",0
"de_Castro_Brasileiro__César",3
"de_Deus_Lopes__Roseli",3
"de_Jong__Ton",16
"de_León__Lourdes",9
"De_Smedt__Fien",3
"De_Wever__Bram",6
"Dehghanzadeh__Hojjat",1
"Delaney__Victoria",1
"DeLiema__David",21
"Dennis__Katherine",2
"DesPortes__Kayla",18
"Dever__Daryn_A.",3
"Deverel.Rico__Clarissa",1
"Dhakulkar__Amit",1
"Dickes__Amanda",21
"Dickler__Rachel",8
"Dikker__Suzanne",9
"DiNapoli__Joseph",0
"Dixon__Colin",3
"Dobie__Tracy",4
"Dogan__Muhammed_Fatih",2
"Dominguez__Ximena",4
"Donaldson__Jonan_Phillip",6
"Dong__Shengwen",3
"Dood__Amber_J.",4
"Dove__Ian_J.",5
"Dozier__Sara",1
"Dresel__Markus",5
"Drzewiecki__Katie_C.",5
"Dubovi__Ilana",2
"Duncan__Ravit",15
"Dunlap__Kathrin",4
"Durik__Amanda",7
"Dyer__Elizabeth_B.",20
"Easley__Kathleen",9
"Easterday__Matthew",18
"Edelsbrunner__Peter_A.",3
"Ehrenfeld__Nadav",0
"Eie__Siv",4
"Eielsen__Carl_Sebastian",2
"Eimler__Sabrina_C.",4
"El.Adawy__Shams",2
"Elby__Andrew",3
"Elliott__Colin_Hennessy",7
"Ellis__Amy_B.",2
"Emara__Mona",4
"Eng__Jess",3
"Enyedy__Noel",41
"Erete__Sheena",5
"Ericson__Barbara",2
"Ertl__Bernhard",4
"Espino__Danielle_P.",3
"Estrada__Andrew",3
"Eysink__Tessa_H._S.",16
"Faimon__Lillyanna",6
"Fanguy__Mik",1
"Farris__Amy",21
"Feng__Chen",7
"Feng__Xueqi",3
"Fensie__Anne",1
"Fernandez__Cassia",8
"Fett__Kerstin",5
"Fiacco__James",3
"Fick__Sarah_J.",6
"Fields__Deborah",2
"Finkenstaedt.Quinn__Solaire_A.",4
"Finzer__William",7
"Fischback__Liam",2
"Fischer__Christian",3
"Fischer__Frank",12
"Fischer__Martin_R.",8
